web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576032489-509","https://losestudiantes.co/","Santos Alonso BeltranCiencia Política","https://losestudiantes.co/universidad-nacional/ciencia-politica/profesores/santos-alonso-beltran-beltran","Nos hace ir un sábado a las 10 y no dice que no va a ir. La clase es mala y aburrida Pros: De puede dejar alta Cons: No se aprende, el profesor es un mediocre","2"
"1576032532-517","https://losestudiantes.co/","Leopoldo Alberto Munera RuizCiencia Política","https://losestudiantes.co/universidad-nacional/ciencia-politica/profesores/leopoldo-alberto-munera-ruiz","Leopoldo Múnera es uno de los pocos profesores que todavía exige una dedicación rigurosa a sus clases y contenidos. Me preparé toda la carrera para ver su clase culmen, Teorías del Poder, y definitivamente siento que cualificó mi nivel de análisis y abstracción, además de poder relacionar teorías con temas cotidianos. De las mejores experiencias que se pueden vivir en la carrera de Ciencia Política de la UN sede Bogotá. En adición, no se desliga de las problemáticas que vive la universidad pública en Colombia. Pros: Riguroso, exigente, interdisciplinar. Cons: Mayoritariamente eurocéntrico, difícil de entender si no se han tomado clases anteriores de teoría política.","4.8"
"1576032647-568","https://losestudiantes.co/","Jose German Burgos SilvaCiencia Política","https://losestudiantes.co/universidad-nacional/ciencia-politica/profesores/jose-german-burgos-silva","Excelente profesor. Tiene una buena metodología, muy clara y riguroso con el tiempo por lo cual no hay que preocuparse porque queden temas sin verse. Hace quices orales con lo cual es muy exigente en la nota que asigna, generalmente no suben de 4. También hace controles escritos de lectura. Ahora los parciales son de selección múltiple con dos preguntas abiertas sobre las lecturas que asigna específicamente para el parcial Pros: Las clases no son aburridas.
Se aprende demasiado con diferentes enfoques. Cons: No se puede faltar a ninguna clase. La nota final no es tan alta.","5"
"1576032440-494","https://losestudiantes.co/","Jairo Hernando Estrada AlvarezCiencia Política","https://losestudiantes.co/universidad-nacional/ciencia-politica/profesores/jairo-hernando-estrada-alvarez","Es gran conocedor de los procesos políticos en America Latina. Aunque su nivel de voz puede llegar a ser arrulladora debido al horario de la asignatura (después del almuerzo), si se trata de mantener muy atento/a a la clase, aprenderá bastante de la historia política latinoamericana, desde la izquierda y la derecha. A su vez, tiene buena bibliografía (aunque un poco larga a veces) y la complementación con recursos cinematográficos le agregan un plus a la cátedra para realizar ensayos críticos sobre el pasado de América Latina, su presente y su futuro incierto.Pros: Bibliografía, conocimiento amplio, cinematografía complementaria al curso, parciales sencillos.Cons: Tono de voz del maestro, trabajos a realizar con mucho tiempo de antelación, le cuesta manejar una temporalidad clara.","4.5"
"1576032375-467","https://losestudiantes.co/","Miguel Antonio Borja AlarconCiencia Política","https://losestudiantes.co/universidad-nacional/ciencia-politica/profesores/miguel-antonio-borja-alarcon","Es de esos profesores que si se quiere se aprende y bastante. Deja lecturas buenas, y la discusión es muy interesante. Es atento con sus estudiantes, en la medida en que si el estudiante hace buenos trabajos, este les da la oportunidad de publicarlos.","4.4"
"1576032582-540","https://losestudiantes.co/","Catalina Toro PerezCiencia Política","https://losestudiantes.co/universidad-nacional/ciencia-politica/profesores/catalina-toro-perez","Este semestre estuvo lleno de inconvenientes con la profesora y aunque pensábamos que era una excepción por el accidente que tuvo, al consultar con otros compañeros me enteré que otros semestres han sido igual. Ella dice tener mucha carga y la universidad no me facilita a tiempo monitores para su clase, lo cual dificulta el buen desarrollo de la clase. Pros: Bibliografía. Complicada pero vale la pena intertar leerla. Ella valora mucho el esfuerzo, que uno le pregunte y pida orientación para los proyectos finales Cons: Se distrae mucho. No es concreta. Es muy desorganizada. No enseña bien el tema.","2"
"1576032156-436","https://losestudiantes.co/","Juan Carlos Chaparro RodriguezCiencia Política","https://losestudiantes.co/universidad-nacional/ciencia-politica/profesores/juan-carlos-chaparro-rodriguez","Excelente profesor, estoy totalmente de acuerdo con el comentario de abajo: se nota la pasión del profesor por la historia y por enseñar. Un gran docente","5"
"1576032547-526","https://losestudiantes.co/","Julio Rafael Quiñones PaezCiencia Política","https://losestudiantes.co/universidad-nacional/ciencia-politica/profesores/julio-rafael-qui%C3%B1ones-paez","No es claro, lo hace con pasión, pero no tiene buena metodologías y aburre y divaga mucho.Pros: PasiónCons: No es claro.
Muy pocos trabajos.","1.7"
"1576032177-450","https://losestudiantes.co/","Miguel Angel Herrera ZgaibCiencia Política","https://losestudiantes.co/universidad-nacional/ciencia-politica/profesores/miguel-angel-herrera-zgaib","Busque entenderlo leyendo con mucha atención lo que le recomienda, y va a disfrutar mucho los pensamientos que él le ofrece y los que él busca despertar en usted. Sea proactivo y proponga, y cuando él acoja su idea sea constante, encontrará un ferviente apoyo.","5"
"1576032597-550","https://losestudiantes.co/","Daniel Alberto Libreros CaicedoCiencia Política","https://losestudiantes.co/universidad-nacional/ciencia-politica/profesores/daniel-alberto-libreros-caicedo","Habla mucho y hace que la clase se torne aburrida, lo cual, en mi caso personal, hacía que no le prestara mucha atención. A pesar de esto, el profesor sabe muchísimo de los temas, tanto desde una perspectiva histórica como económica, y le interesa que uno se informe y pueda discutir de ellos. Me pareció que las clases del monitor eran las mejores, lastima que este haya sido su último semestre como monitor :(","3.5"
"1576032156-440","https://losestudiantes.co/","Juan Carlos Chaparro RodriguezCiencia Política","https://losestudiantes.co/universidad-nacional/ciencia-politica/profesores/juan-carlos-chaparro-rodriguez","Es un profesor muy apasionado por las temáticas que dicta, se preocupa bastante porque el estudiante aprenda y también por dar una retroalimentación que te permita mejorar. Las lecturas que deja no siempre son cortas pero son buenas y relevantes para la clase. Es muy organizado y puntual. La metodología consiste en ensayos  y una exposición; los ensayos requieren trabajo pero el profesor da todas las herramientas para hacerlo y  te deja claro que debe ir en ellos.","5"
"1576032354-463","https://losestudiantes.co/","Santiago Gomez ObandoCiencia Política","https://losestudiantes.co/universidad-nacional/ciencia-politica/profesores/santiago-gomez-obando","La persona que hace que las clases de Múnera sean digeribles. Amable, pedagógico hasta el tuétano y riguroso. Es un excelente ser humano. Pros: Amigable, explica todo de una manera sencilla.","4.9"
"1576032177-444","https://losestudiantes.co/","Miguel Angel Herrera ZgaibCiencia Política","https://losestudiantes.co/universidad-nacional/ciencia-politica/profesores/miguel-angel-herrera-zgaib","Es un profesor con un conocimiento amplio, busca incentivar la participación de sus estudiantes pero que a veces dispersa mucho las sesiones y suele ser confuso en su manera de explicar los temas. Su metodología es por medio de exposiciones grupales de sus estudiantes, la cual incita un poco a la falta de atención  del curso y a volver tediosa las sesiones.","3.5"
"1576032234-456","https://losestudiantes.co/","Carlos Medina GallegoCiencia Política","https://losestudiantes.co/universidad-nacional/ciencia-politica/profesores/carlos-medina-gallego","Las primeras tres clases fueron buenas; este semestre (2019-2) ha asistido a todas las clases a excepción de una. En el examen de 50 preguntas, 2 eran E, el resto D. En la primera entrega del trabajo final ni se tomó el tiempo de leer los trabajos, solo dijo que habían quedado mal. No acepta críticas a su ""pedagogía"".  Pros: Tiene muchos conocimientos por aportar.
Buen investigador. Cons: Clases totalmente magistrales.
Sólo lee diapositivas.","2.7"
