web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576101261-776","https://losestudiantes.co/","Hugo Martin Galindo ValbuenaIngeniería Química","https://losestudiantes.co/universidad-nacional/ingenieria-quimica/profesores/hugo-martin-galindo-valbuena","Es un profesor muy dedicado, es bueno en la medida que los alumnos le correspondan, siempre que los alumnos lean lo que el mande y participen la clase se hacer super dinámica y se aprende mucho, ademas es facil pasar porque da muchas oportunidades y recompensa mucho el esfuerzo.Pros: Interés y disponibilidad por la clase.
Cons: Hay que trabajarle MUCHO","4.6"
"1576101321-799","https://losestudiantes.co/","Juan Guillermo Cadavid EstradaIngeniería Química","https://losestudiantes.co/universidad-nacional/ingenieria-quimica/profesores/juan-guillermo-cadavid-estrada","Buen profesor. Explica bien los temas, se toma el trabajo de repasar hasta que el estudiante aprenda, sin embargo, a veces puede enredarse un poco. Está dispuesto a colaborarle siempre a sus estudiantes. A veces los parciales pueden resultar confusos.","4.2"
"1576101261-777","https://losestudiantes.co/","Hugo Martin Galindo ValbuenaIngeniería Química","https://losestudiantes.co/universidad-nacional/ingenieria-quimica/profesores/hugo-martin-galindo-valbuena","El profesor es uno de los mejores que he encontrado a lo largo de la carrera, se empeña en que el estudiante entienda el tema y desarrolle en el una actitud de trabajo autónomo.
Pros: no se centra solo en lo establecio por el programa, aportando conocimientos utiles en materias futurasCons: si no se lee el tema con anticipación, es muy fácil el perderse en la explicación","5"
"1576101015-656","https://losestudiantes.co/","Leonardo Emilio Calle PaezIngeniería Química","https://losestudiantes.co/universidad-nacional/ingenieria-quimica/profesores/leonardo-emilio-calle-paez","No se aprende mucho en sus clases, pues es desordenado. Es increíble que aun preguntándole cómo se resolvería x o y taller ni siquiera se le entienda que es lo que está preguntando.Pros: Tiene anécdotas acerca de sus anteriores trabajos. Son interesantes e ilustran cierto proceso de IQ porque se nota que tiene bastante experiencia en el área laboral.Cons: Es muy desordenado, no se da a entender bien.","2"
"1576101313-794","https://losestudiantes.co/","Joaquin Enrique Tirano VanegasIngeniería Química","https://losestudiantes.co/universidad-nacional/ingenieria-quimica/profesores/joaquin-enrique-tirano-vanegas","El profesor cumple con lo que dice el programa, explica lo que debe explicar pero es un poco desorganizado, empieza la clase por temprano 15 minutos después de la hora o hasta 45 minutos después, sus parciales no son muy difíciles pero tal vez lo que explica no es suficiente para presentarlos, da muchas ayudas pero es bastante severo calificando","3"
"1576101330-802","https://losestudiantes.co/","Lucía Pérez RamírezIngeniería Química","https://losestudiantes.co/universidad-nacional/ingenieria-quimica/profesores/luc%C3%ADa-p%C3%A9rez-ram%C3%ADrez","La profesora es buena, es muy amable con los estudiantes y conoce de su trabajo; pero en ocasiones, no esta muy pendiente de los estudiantes, y se va y si uno tiene una duda, debe esperar a que llegue. En general, siempre está disponible para resolver dudas y ayudar en los proyectos de cada grupo. Es comprensiva y entiende las situaciones de los estudiantes.","3.7"
"1576101345-809","https://losestudiantes.co/","Dolly Santos BarbosaIngeniería Química","https://losestudiantes.co/universidad-nacional/ingenieria-quimica/profesores/dolly-santos-barbosa","EN TPI - Se esfuerza para ayudar en el desarrollo del proyecto, si se trabaja es facil dejar la materia alta, toca ser conciente de las palabras que usara para hablarlePros: Se esfuerza para ayudar en los proyectos, participando activamente en pro de estosCons: cositera en el uso del lenguaje y el como comunica sus ideas, escuelera","4"
"1576101058-667","https://losestudiantes.co/","Andres Felipe Medina VillamilIngeniería Química","https://losestudiantes.co/universidad-nacional/ingenieria-quimica/profesores/andres-felipe-medina-villamil","Pros: Explica bienCons: Irrespetuoso","3"
"1576101225-761","https://losestudiantes.co/","Gabriel Eduardo Rocha CaminoIngeniería Química","https://losestudiantes.co/universidad-nacional/ingenieria-quimica/profesores/gabriel-eduardo-rocha-camino","Un muy buen profesor. Se nota que es un experto en el tema e impulsa a los estudiantes a trabajar y esforzase por aprender. La clase es bastante rápida y toca estar muy atento ya que uno se puede perder fácilmente. Se lleva un cuaderno de trabajo y estudio, en el cual se realizan los talleres, trabajos y tareas que asigna cada clase. Es importante participar en clase y resolver cualquier duda que se tenga. El tema es bastante difícil y con la cantidad de trabajo que asigna el profesor se hace una materia muy pesada, pero se aprende mucho.Pros: Gran profesor
Se aprende mucho
Resuelve dudas
Lo hace pensarCons: Es MUY pesado
Se debe tener una gran cantidad de trabajo autonomo","4"
"1576101409-826","https://losestudiantes.co/","Luis Alejandro Boyaca MendivelsoIngeniería Química","https://losestudiantes.co/universidad-nacional/ingenieria-quimica/profesores/luis-alejandro-boyaca-mendivelso","Es un poco aburrido en clase pero enseña bien los temas.
Pros: No es tan exigente en los proyectos y ayuda en los parciales","4.2"
"1576101181-725","https://losestudiantes.co/","Ruth LancherosIngeniería Química","https://losestudiantes.co/universidad-nacional/ingenieria-quimica/profesores/ruth-lancheros","Es una buena maestra. Explica los temas concretamente y así mismo los evalúa. Luego del parcial uno puede ir a la oficina y le explica a uno cada detalle y error.
Me parece una de los mejores docentes para la materia","4"
"1576101291-789","https://losestudiantes.co/","Luis Francisco Boada EslavaIngeniería Química","https://losestudiantes.co/universidad-nacional/ingenieria-quimica/profesores/luis-francisco-boada-eslava","El man sabe mucho, y super dado a explicar.","5"
