web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576039842-1577","https://losestudiantes.co/","Johan Andres Avendaño AriasGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/johan-andres-avenda%C3%B1o-arias","Pros: Sus clases son dinámicas y uno aprende mucho","3.9"
"1576039878-1581","https://losestudiantes.co/","Jose Daniel Pabon CaicedoGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/jose-daniel-pabon-caicedo","Pros: -Mucha experiencia en el tema
-La salida de campo Cons: -habla muy pasito 
-la edad ya le pesa","4.5"
"1576039850-1578","https://losestudiantes.co/","German Vargas CuervoGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/german-vargas-cuervo","La clase demanda mucho tiempo, en una tarea uno se puede demorar 8 horas  fácilmente, sin embargo uno aprende mucho.","3.6"
"1576039971-1591","https://losestudiantes.co/","Luis Gabriel Salas SalazarGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/luis-gabriel-salas-salazar","La materia es movida y exigente, se aprende bastante pero tiene sus días pailas y comentarios zafadosPros: -Maneja bien el tema 
-tiene experiencia en el tema político y de conflicto colombianoCons:","4"
"1576039850-1580","https://losestudiantes.co/","German Vargas CuervoGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/german-vargas-cuervo","Una persona extremamente arrogante y torpe! Imposible cualquier diálogo o solicitud para sanar dudas. Siempre tenemos que recorrer a sus pupilos que también son muy arrogantes.Pros: Absolutamente nada","2"
"1576039928-1586","https://losestudiantes.co/","Luis Jorge Gracia DueñasGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/luis-jorge-gracia-due%C3%B1as","Es un desastre su clase, no se aprende nada y con seguridad se queda mal preparado pues ni siquiera deja lecturas para avanzar en algo. Es demasiado agresivo y grosero con los expositores, no deja terminar ni lo qu se va a decir cuando ya lo está atacando. Probablemente el peor profesor que he tenido.","1.6"
"1576039964-1589","https://losestudiantes.co/","Gabriel Triana ZarateGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/gabriel-triana-zarate","La materia ha ido mejorando y actualizando, se empezó a manejar el programa ERDAS que es una ventaja para lo que se viene en el futuro a la geografía, eso si como todo con Triana es de estar presente en todas las clases y presentarle todo.Pros: -Se ha estado actualizando el programaCons: -habla de una salida de campo que nunca hace","4.7"
"1576039928-1587","https://losestudiantes.co/","Luis Jorge Gracia DueñasGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/luis-jorge-gracia-due%C3%B1as","Perdida de tiempo y de créditos, sobre todo en materias tan fundamentales, NO INSCRIBIR EN LO POSIBLE CON EL !!

PDA: una vez se durmió en la expo de una compañera  :ICons: -Cristiano radical
-Perezoso
-In puntual
-poca vocación","1.5"
"1576039826-1574","https://losestudiantes.co/","Willington Libardo Siabato VacaGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/willington-libardo-siabato-vaca","Es un excelente docente, se toma muy en serio la parte de ser un profesor el cual esta dispuesto a brindar todo su conocimiento si así se lo exigen los estudiantes, motiva a ir mas allá del tres para aprobar, es llevarse unas buenas bases para el resto de la carrera y vida profesional.Pros: Explica muy bien, es organizado, meticuloso y sus clases van mas allá de leer dispositivas es hacer que se comprenda claramente todo lo que requiere en la asignatura","4.9"
"1576039964-1590","https://losestudiantes.co/","Gabriel Triana ZarateGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/gabriel-triana-zarate","La materia es exigente, es ya una costumbre que coja a un estudiante entre ojos sobre todo cuando no le asisten a las clases por salidas de campo que se crucen con la materia, se aprende bastante pero califica duro.Pros: Puntual 
Cons: -Temperamental 
-tiene preferencias (en las calificaciones)
-notas por debajo de 4 (en promedio)","4.5"
"1576039826-1575","https://losestudiantes.co/","Willington Libardo Siabato VacaGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/willington-libardo-siabato-vaca","Pros: Motiva a superarse","5"
"1576039834-1576","https://losestudiantes.co/","Elsa Astrid Ulloa CubillosGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/elsa-astrid-ulloa-cubillos","Sus clases se aprovechan mucho. Deja mucha lectura pero toda vale la pena.","3.9"
"1576039812-1572","https://losestudiantes.co/","Francisco Javier López LoffsnerGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/francisco-javier-l%C3%B3pez-loffsner","Excelente docente, domina completamente los temas de la clase y tiene buenas dinámicas de grupo.Pros: Dominio del tema
Clases amenas","5"
"1576039850-1579","https://losestudiantes.co/","German Vargas CuervoGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/german-vargas-cuervo","La clase es muy densa pero se le saca bastante provecho.","4.9"
"1576039826-1573","https://losestudiantes.co/","Willington Libardo Siabato VacaGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/willington-libardo-siabato-vaca","Excelente profesor, tiene paciencia, atiende fuera de la clases, mantiene informado a los estudiantes de como van en la materia, es exigente y puede parecer que es dificil la materia pero en realidad es muy fácil pasarla si eres responsable.Pros: Es muy organizado con los trabajos y las calificaciones 
Explica los temas minuciosamente
Toma muchas notas y da oportunidades","4.8"
"1576039928-1585","https://losestudiantes.co/","Luis Jorge Gracia DueñasGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/luis-jorge-gracia-due%C3%B1as","Las clases son aburridas y se tratan de escuchar las opiniones del profesor, las lecturas durante el curso son pocas teniendo en cuenta la cantidad de tema que se debería manejar en el programa del curso. Cons: Tiene tintes políticos u religios. No es exigente.","2"
"1576039935-1588","https://losestudiantes.co/","Martha Isabel Duque FrancoGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/martha-isabel-duque-franco","Los términos y teoría económica los maneja muy bien desde la parte de socióloga, vale la pena...Pros: -Se esmera bastante en incluir material y en sus clases
-PuntualCons: -Comentarios y forma de hablar algo golpeada pero se acostumbra","4.7"
"1576039928-1584","https://losestudiantes.co/","Luis Jorge Gracia DueñasGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/luis-jorge-gracia-due%C3%B1as","De los peores profesores con los que me he topado en la Universidad.
En nuestra época, la clase se había vuelto un espacio en el que tocaba oírlo hablar y denigrar de distintas situaciones que afectaban a la Universidad o a la ciudad, de su ideología política y sus creencias religiosas.
Y cuidado con llevarle la contraria. A veces se hacía el bobo fomentando un ambiente debate pero tenía muy en cuenta a quienes le llevaban la contraria para tenerlos entre ojos y en las siguientes clases echarles vainazos.
Si hacen sus trabajos (que no sirven para nada y son poco interesantes), le medio leen las lecturas aburridas que deja y se limitan a participar sobre los temas de la clase, la va a dejar alta.Pros: No le rescato nada.Cons: -Intolerante
-Machista
-Irrespetuoso
-Atrevido
etc","1.5"
"1576039878-1582","https://losestudiantes.co/","Jose Daniel Pabon CaicedoGeografía","https://losestudiantes.co/universidad-nacional/geografia/profesores/jose-daniel-pabon-caicedo","Pros: Sabe un montón, las cátedras son muy buenas Cons: Ya la edad lo afecta un poco, antes daba todo de el","4.2"
