web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576028939-185","https://losestudiantes.co/","Osman Benjamin Giovanny Vargas RozoAdministración y Contaduría Pública","https://losestudiantes.co/universidad-nacional/administracion-y-contaduria-publica/profesores/osman-benjamin-giovanny-vargas-rozo","Clases entretenidas y fuera de lo común. Pros: Actividades que ayudan a pensar de forma creativaCons: Las clases teóricas chocan mucho con las clases prácticas","5"
"1576028993-197","https://losestudiantes.co/","Daniel Contreras GomezAdministración y Contaduría Pública","https://losestudiantes.co/universidad-nacional/administracion-y-contaduria-publica/profesores/daniel-contreras-gomez","ENGENERAL ES UN BUEN PROFESOR, SE ESMERA POR ENSEÑARTE BIENCons: Llega tarde SIEMPRE","4.2"
"1576029067-205","https://losestudiantes.co/","Edison Jair Duque OlivaAdministración y Contaduría Pública","https://losestudiantes.co/universidad-nacional/administracion-y-contaduria-publica/profesores/edison-jair-duque-oliva","No tiene un ""ego gigante"", más bien es consciente de lo que sabe y su valor como profesional, algo de lo cual deberíamos aprenderle; por el contrario se preocupa mucho por ayudar a los estudiantes (no en su materia, sino a nivel general) a solucionar sus inconvenientes, especialmente los que tengan que ver con la parte administrativa.

Es un profesor que valora muchísimo la participación en clase, le fascina que le hablen, que generen debate, que hagan preguntas y si eres muy activo en sus cursos, seguramente al final tendrás buena nota.

Detesta la desidia, y no escatima en dar fuertes críticas a quien considere que lo merece. 

ES EL MEJOR DOCENTE PARA APRENDER DE MARKETING, es exigente y te aterriza los conceptos a la realidad.","4.5"
"1576029115-211","https://losestudiantes.co/","Ruth Alejandra Patiño JacintoAdministración y Contaduría Pública","https://losestudiantes.co/universidad-nacional/administracion-y-contaduria-publica/profesores/ruth-alejandra-pati%C3%B1o-jacinto","Excelente profesora, explica bien los temas, es puntual, concisa y siempre dispuesta a resolver dudad.","5"
"1576029291-229","https://losestudiantes.co/","Gustavo Adolfo Acuña CorredorAdministración y Contaduría Pública","https://losestudiantes.co/universidad-nacional/administracion-y-contaduria-publica/profesores/gustavo-adolfo-acu%C3%B1a-corredor","Se aprende un montón acerca de las operaciones necesarias que deberían enseñarse en fundamentos de finanzas. Es claro en la explicaron y muy riguroso.
A través de talleres se extiende el tema y se comprende mejor.Pros: Enseña lo que se necesita para fundamentos de finanzas.
Es claroCons: Muy mala persona, es grosero con los estudiantes, los minimiza y los hace sentir estupidos.
Cascarero en quizes y parciales.
perezoso para calificar, uno no sabe su nota sino hasta el final del semestre.
No le gusta que le hagan preguntas.","1.5"
"1576028993-193","https://losestudiantes.co/","Daniel Contreras GomezAdministración y Contaduría Pública","https://losestudiantes.co/universidad-nacional/administracion-y-contaduria-publica/profesores/daniel-contreras-gomez","Pros: Es amable
Explica bien
Es muy, MUY fácil de pasarCons: Es impuntual","4.3"
"1576028993-196","https://losestudiantes.co/","Daniel Contreras GomezAdministración y Contaduría Pública","https://losestudiantes.co/universidad-nacional/administracion-y-contaduria-publica/profesores/daniel-contreras-gomez","El profesor llega tarde, da la clase a la carrera y cuando ha finalizado, de repente se va sin decir nada ni despedirse. La primera clase todos nos quedamos esperando porque pensamos que había salido a atender una llamada. En general se aprende mucho y los parciales son fáciles.Cons: Es muy acelerado y a veces se le sale lo mala gente.","3"
"1576028939-186","https://losestudiantes.co/","Osman Benjamin Giovanny Vargas RozoAdministración y Contaduría Pública","https://losestudiantes.co/universidad-nacional/administracion-y-contaduria-publica/profesores/osman-benjamin-giovanny-vargas-rozo","Profesor muy dedicado a las materias que dicta, los talleres y actividades tienen relación a la empresa real y casos que se pueden presentar en las organizaciones.  Explica los temas de producción 2 muy digeribles y con una visión muy ingenieril . Recomiendo 100% ver cualquier materia con este profesor y pese a que es joven, le gusta enseñar y compartir toda su experiencia como emprendedor. Pros: Cómo fue monitor del profesor Luis Alejandro Rodriguez, entiende los problemas que se les presentan a los estudiantes. Cons: Ninguna","5"
"1576029390-234","https://losestudiantes.co/","Cindy Julieth Rojas GomezAdministración y Contaduría Pública","https://losestudiantes.co/universidad-nacional/administracion-y-contaduria-publica/profesores/cindy-julieth-rojas-gomez","Muy buena explicando, es muy madre, si se pone atención y se hacen los talleres a conciencia la materia sale fácil.","4"
"1576029249-227","https://losestudiantes.co/","Alvaro Uldarico Viña VizcainoAdministración y Contaduría Pública","https://losestudiantes.co/universidad-nacional/administracion-y-contaduria-publica/profesores/alvaro-uldarico-vi%C3%B1a-vizcaino","El profesor tiene mucho conocimiento sobre lo que expone, lo que hace que la clase sea amena. Lo negativo es que no entrega notas sino hasta el final del curso y que a veces no le alcanza el tiempo para todos los temas del curso","4"
