web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576038751-1347","https://losestudiantes.co/","Juan Jose Botero CadavidFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/juan-jose-botero-cadavid","Pésimo. No se le escucha nada en clase y a veces llega es a leer el libro. Repite todo lo que dice el autor y luego dice: ""Obvio"". Su respuesta a todo es: ""Haga epojé""Pros: El tipo es tan vago, que no lee los trabajos y se le puede dejar la materia alta sin esforzarse. Cons: No se aprende
No se le escucha
Es petulante
Es grosero
Tiene pésimo sentido del humor","1.5"
"1576038913-1359","https://losestudiantes.co/","Raul Ernesto Melendez AcuñaFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/raul-ernesto-melendez-acu%C3%B1a","es un buen profesor y más allá de buen profesor, una buena persona. se acerca a los estudiantes y los trata como iguales. maneja muy bien los temas, solo le criticaría el tono de voz que a veces es muy bajo.","4.5"
"1576038835-1351","https://losestudiantes.co/","William Augusto Duica CuervoFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/william-augusto-duica-cuervo","Es un muy buen profesor, sus clases son buenas y entretenidas. Maneja bien los temas que trabaja y hace observaciones muy agudas. El único problema fue un examen de selección múltiple, pero por lo demás es excelente.","4.7"
"1576038928-1360","https://losestudiantes.co/","German Arturo Melendez AcuñaFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/german-arturo-melendez-acu%C3%B1a","Su manejo de diferentes temas es prolijo y profundo. Tiene una capacidad analítica para las discusiones de temas filosóficos. 

Creo que sus clases son excelentes solo es un poco disperso a veces","4.6"
"1576038878-1353","https://losestudiantes.co/","Angel Giovanni Rivera NovoaFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/angel-giovanni-rivera-novoa","es bastante claro para explicar el tema de lógica.","5"
"1576038722-1345","https://losestudiantes.co/","Porfirio Ruiz CastiblancoFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/porfirio-ruiz-castiblanco","Es un profesor muy dedicado a su trabajo. Es un pedagogo excelente. Maneja particularmente bien los temas de filosofía antigua. Es exigente y cuidadoso en la revisión de los trabajos. Recomendadísimo","5"
"1576038722-1346","https://losestudiantes.co/","Porfirio Ruiz CastiblancoFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/porfirio-ruiz-castiblanco","Las clases con él son excelentes, muy divertidas y hace que te enamores aún más de la filosofía. Es exigente con la precisión de los conceptos y las intervenciones. Tanto los escritos como las evaluaciones ayudan a mejorar la escritura.","5"
"1576038956-1362","https://losestudiantes.co/","Alfonso Correa MottaFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/alfonso-correa-motta","Es un buen profesor, con gran dominio del tema. Pero a veces tiene una postura un poco petulante y es bastante molesto que siempre se estén preguntando cosas como: ¿quién sabe alemán acá? ¿quién sabe italiano? considero que las clases deben ser planeadas para todo el mundo con independencia del dominio de los idiomas.","4"
"1576038715-1344","https://losestudiantes.co/","Jaime Ramos ArenasFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/jaime-ramos-arenas","es un profesor muy juicioso, se toma en serio su trabajo y es bastante riguroso con lo que los estudiantes entregan y dicen. Tambien es bastante juicioso en sus lecturas. recomendado. Cons: puede que su estilo de dictar clase no le guste a algunos.","4.5"
"1576038956-1361","https://losestudiantes.co/","Alfonso Correa MottaFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/alfonso-correa-motta","Alfonso es un excelente profesor. Tiene un gran dominio y conocimiento sobre el tema. Es bastante organizado y sistemático. Muy muy muy recomendado.","5"
"1576038843-1352","https://losestudiantes.co/","Bernardo Correa LopezFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/bernardo-correa-lopez","El profesor tiene un manejo asertivo del grupo en el seminario, es decir las conversaciones son guiadas y direccionadas en relación a los objetivos de la clase.

Los contenidos vistos tienen un componente crítico. La materia en si es exigente, pero el profesor permite cierto nivel de flexibilidad si hubo trabajo","4.5"
"1576038758-1348","https://losestudiantes.co/","Adrian CussinsFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/adrian-cussins","su dominio del español es casi nulo, debería incluso dictar las clases en inglés. Sus clases son repetitivas y tediosas. Solo saca una nota.","1.5"
"1576038956-1363","https://losestudiantes.co/","Alfonso Correa MottaFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/alfonso-correa-motta","El profesor es muy bueno y domina muy bien los temas de filosofía antigua. Es riguroso con su trabajo aunque sus observaciones a los textos podrían ser un poco más claras. Muy recomendado.","4.5"
"1576038885-1355","https://losestudiantes.co/","Luis Eduardo Gama BarbosaFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/luis-eduardo-gama-barbosa","Me parece un buen profesor clase dinámica, manejo adecuado de los contenidos.","4.7"
"1576038906-1357","https://losestudiantes.co/","Alejandro Rosas LopezFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/alejandro-rosas-lopez","El profesor es muy bueno. Es muy claro en la explicación de los temas. Es un profesor exigente. Él revisa los textos con gran cuidado y siempre trata de que las cosas queden lo más claras posibles. Pros: Es muy claro.
Cons: No es el tipo más divertido. 
A veces no se da cuenta de que sus comentarios son algo fuertes.","5"
"1576038715-1343","https://losestudiantes.co/","Jaime Ramos ArenasFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/jaime-ramos-arenas","Es un muy buen profesor. Es claro, pero no es muy divertido. En sus clases se aprende muchísimo. Eso sí: califica muy duro. Pros: Es muy claro. 
Cons: Califica a matar. Si uno saca más de 40 puede darse por bien servido.","4"
"1576038786-1349","https://losestudiantes.co/","Ignacio Avila CanamaresFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/ignacio-avila-canamares","un profesor muy juicioso y muy claro en temas que son bastante complejos. Sus explicaciones son muy claras y es bastante juicioso con sus calificaciones a los estudiantes.","5"
"1576038878-1354","https://losestudiantes.co/","Angel Giovanni Rivera NovoaFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/angel-giovanni-rivera-novoa","Un profesor muy dedicado en la elaboración de sus clases.","5"
"1576038906-1358","https://losestudiantes.co/","Alejandro Rosas LopezFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/alejandro-rosas-lopez","no me gustó su clase de propedéutica, los primeros semestres es para enamorarse de la carrera y en este caso no sucedió. mala materia.","1.5"
"1576038786-1350","https://losestudiantes.co/","Ignacio Avila CanamaresFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/ignacio-avila-canamares","Profesor disciplinado puntual excelente manejo del tema. El profesor es estricto. 

Los contenidos tiene un buen manejo y los seminarios tienen una discusión ordenada","4.3"
"1576038906-1356","https://losestudiantes.co/","Alejandro Rosas LopezFilosofia","https://losestudiantes.co/universidad-nacional/filosofia/profesores/alejandro-rosas-lopez","No tiene un buen dominio de los contenidos y la clase fue extremadamente aburrida. Pros: Es puntual, sigue el programa, la nota queda alta. Cons: No tiene un buen dominio de los temas. 
La clase es muy aburrida.","3"
