web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576099899-275","https://losestudiantes.co/","Ricardo Mauricio Tamayo OsorioPsicología","https://losestudiantes.co/universidad-nacional/psicologia/profesores/ricardo-mauricio-tamayo-osorio","Muy buen profesor, es divertido y amable. Sus clases en general son bastantes buenas, dinámicas y entretenidas, con temas interesantes y explicación clara;  propone discusiones en clase respecto a los temas, que se tornan interesantes y propone algunos trabajos que salen de lo común, siendo divertidos. Toma buena literatura, aunque sus parciales son muy largos.","4.4"
"1576099786-264","https://losestudiantes.co/","Maria Clemencia Del Pilar Castro VergaraPsicología","https://losestudiantes.co/universidad-nacional/psicologia/profesores/maria-clemencia-del-pilar-castro-vergara","Es una profesora muy activa, con amplio conocimiento teorico y práctico en su campo. Tiene amplia experiencia académica y puede brindar muchas fuentes bibliográficas, se puede dialogar ampliamente con ella y debatir de manera abierta.","4"
"1576099843-270","https://losestudiantes.co/","Roberto Posada GiledePsicología","https://losestudiantes.co/universidad-nacional/psicologia/profesores/roberto-posada-gilede","Excelente profesor, habla bastante en su clase, puede llegar a ser un poco tedioso a veces, pero tiene un gran conocimiento en sus temas y los sabe explicar de manera clara, a veces pone ejemplos de su vida y vídeos. En esta clase se ven los mismos temas de Psicología del Desarrollo (con él) pero diría que un poco más a profundidad.","4.5"
"1576099850-273","https://losestudiantes.co/","Carlos Jose Parales QuenzaPsicología","https://losestudiantes.co/universidad-nacional/psicologia/profesores/carlos-jose-parales-quenza","Un profesor muy sui generis, tal como dice él. Le gusta lo que hace, y se nota. Las clases con él son divertidas, tiene su manera para que los estudiantes entiendan lo que explica. Si se le sabe llevar la cuerda se aprende bastante con él.","4.5"
"1576099991-284","https://losestudiantes.co/","Martha Silvia De Castro KorgiEstudios de Psicoanálisis y Cultura","https://losestudiantes.co/universidad-nacional/estudios-de-psicoanalisis-y-cultura/profesores/martha-silvia-de-castro-korgi","Es muy ordenada y atenta con las necesidades de sus estudiantes. Uno aprende mucho de cada tema que se tiene en el programa y además se abarcan todos. Y trata de complementar bien lo teórico y lo práctico pese a ser una materia de libre elección. Es tan empática que enserio dan ganas de trabajarle.Pros: Orden, atención, dirección de clase, empatía, sabe muuuucho.Cons: La diversidad de estudiantes y la contingencia en la elección de la materia hace que no haya una posibilidad de dar un lugar específico a la materia haciendo que no sea una línea con las otras de la Escuela...","5"
"1576099899-276","https://losestudiantes.co/","Ricardo Mauricio Tamayo OsorioPsicología","https://losestudiantes.co/universidad-nacional/psicologia/profesores/ricardo-mauricio-tamayo-osorio","Es divertido tener clase con él. En ocasiones, lleva los temas a casos de la vida real, haciéndolos más faciles de entender. Propone diversas maneras para entender la clase y realmente se preocupa por cómo los estudiantes se sienten en su clase. A veces le falta metodología, pero en general es muy bueno.","4.3"
"1576099843-271","https://losestudiantes.co/","Roberto Posada GiledePsicología","https://losestudiantes.co/universidad-nacional/psicologia/profesores/roberto-posada-gilede","Excelente profesor, muy amable, habla bastante en su clase, puede llegar a ser un poco tedioso a veces, pero tiene un gran conocimiento en los temas y los sabe explicar de manera clara, a veces pone ejemplos de su vida y vídeos.  Maneja buena literatura para los temas, aunque los parciales son largos.","4.5"
"1576099984-282","https://losestudiantes.co/","Marisol Lamprea RodriguezPsicología","https://losestudiantes.co/universidad-nacional/psicologia/profesores/marisol-lamprea-rodriguez","La mejor profesora de lejos en el departamento. Conoce muy bien los temas que enseña, y además los explica de manera que son fáciles de entender. La experiencia y los trabajos que ha realizado son muy buenos. Excelente profesora.","5"
"1576100019-286","https://losestudiantes.co/","German Antonio Gutierrez DominguezPsicología","https://losestudiantes.co/universidad-nacional/psicologia/profesores/german-antonio-gutierrez-dominguez","Excelente profesor, amplía con detalle los temas de clase y proporciona información que no se encuentra en el texto guía. Se preocupa por sus estudiantes y es colaborativo con los proyectos de ellos.Pros: Muy erudito
Paciente
Responsable
Diligente
RespetuosoCons: Tiene demasiada carga laboral como para realizar un acompañamiento constante al semillero de investigación.","5"
"1576099800-267","https://losestudiantes.co/","Belen Del Rocio Moreno CardozoEstudios de Psicoanálisis y Cultura","https://losestudiantes.co/universidad-nacional/estudios-de-psicoanalisis-y-cultura/profesores/belen-del-rocio-moreno-cardozo","¡Excelente docente! Su pasión y entrega se ven reflejados en cada una de sus clases. La dedicación y la investigación constante hace que sus programas siempre se vean renovados por contenido nuevo y muy pertinente. Exige bastante en la escritura y en la argumentación y esto hace que uno mejore. Pros: Receptiva, dedicada, amable e interesada por la clase.","5"
