web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576039312-1476","https://losestudiantes.co/","Shirley Gomez PaezFísica","https://losestudiantes.co/universidad-nacional/fisica/profesores/shirley-gomez-paez","Materia obligatoria para ingeniería y ciencias. Buena docente. Pros: Orden. Califica justo. Cons: La estructura de la clase como tal.","4"
"1576039312-1471","https://losestudiantes.co/","Shirley Gomez PaezFísica","https://losestudiantes.co/universidad-nacional/fisica/profesores/shirley-gomez-paez","Buena maestra, explica muy bien y tiene buena actitudPros: Se aprende bien con ellaCons: Es demasiado exigente al momento de revisar","3.9"
"1576039241-1430","https://losestudiantes.co/","Anderson Dussan CuencaFísica","https://losestudiantes.co/universidad-nacional/fisica/profesores/anderson-dussan-cuenca","Es un profe muy apasionado, enseña de forma sencilla y divertida. Uno nunca se aburre en clase. Su notas van de acuerdo a lo que enseña, es muy amiable y siempre está dispuesto a aclarar dudas. Cons: A final de semestre no entregò la retroalimentaciòn de todos los informes delaboratoria, por lo que no se supo què estaba mal con ellos.","5"
"1576039384-1491","https://losestudiantes.co/","Ramiro CardonaFísica","https://losestudiantes.co/universidad-nacional/fisica/profesores/ramiro-cardona-cardona","El profesor es muy carísmático y buena gente. Siempre fue amable y llevó múltiples ejemplos físicos para explicar sus clases y para hacerlas más entretenidas. A veces se excedía en detalles y eso uno lo valoraba pues se notaba que se esforzaba por mostrar bien las cosas, sin embargo, eso no fue suficiente para el nivel del curso. A pesar de los ejemplos físicos, los experimentos y que todo resultó algo entretenido, la parte teórica fue bastante floja y no ahondó en cosas importantes. Puede resumirse en que fue un curso más de índole divulgativa que teórica formal. Los exámenes fueron fáciles a excepción de uno, y un porcentaje (20%) que correspondía a quices, fueron tareas como cuál estudiante de colegio, casi que faltó que dijera que hiciéramos un meme, pero bueno, eran tareas que 'correspondían' a los temas tratados (muy fáciles). 
No puedo recomendarlo tanto porque siento que no aprendí casi nada con él, su pedagogía no es tan buena, pero es engañoso porque trae muchos ejemplos y es muy buena gente, pero siento honesto, eso no sirve más que una buena base teórica, tal vez para un curso de colegio, pero no para un curso de física de universidad.Pros: - Es muy amable, buena gente, prepara ejemplos, experimentos y cualquier tipo de programas para mostrar los fenómenos que explica.

Cons: - Poca pedagogía, pues los ejemplos que trae, aunque parezca bueno, solo es algo divulgativo que se puede ver en youtube.
- Malas bases teóricas, pues aunque da ejemplos, como mencioné, no explica ni ahonda en detalles importantes y el estudio se vuelve totalmente autónomo.
- No deja talleres ni hace ejemplos, sus clases parecen totalmente divulgativas con poca profundización teórica, lo cual permite que haya una incertidumbre total a la hora de presentar los parciales, pues no se tiene ni puta idea de qué va a preguntar.
- Parciales, a veces, demasiado sencillos.
- Tareas escolares.
- Es fácil pasar","3.5"
"1576039463-1518","https://losestudiantes.co/","Jereson Silva ValenciaFísica","https://losestudiantes.co/universidad-nacional/fisica/profesores/jereson-silva-valencia","El hombre sabe mucho pero piensa que todos los estudiantes ya vieron la asignatura. No recomiendo meter con él física teórica, siempre coloca los problemas más difíciles para explicar un tema por lo cual si no sabes te vas a perder y te va a tocar intentar hacerlo SOLO en tu casa. Si no consigues entender bien los problemas ya es ley que te vas a tirar el parcial.Realmente cuando inscribes esta materia, da casi lo mismo estudiar solo por tu cuenta que ir a clase. Sin embargo, si te consideras muy bueno, puedes meter con este profe y la clase te fluirá. Pros: Sabe muchoCons: Le dicta la clase al tablero.
Te dicta como si ya supieras el tema en su totalidad
Para explicar cualquier tema comienza por lo más difícil
No tiene horario de atención","1.5"
"1576039491-1535","https://losestudiantes.co/","Clara Lilia Calderon TrianaFísica","https://losestudiantes.co/universidad-nacional/fisica/profesores/clara-lilia-calderon-triana","No es una profesora destacable ni en buen modo ni en uno malo. Demasiado estricta con los informesPros: Explica muy bien el procedimiento a seguir
Resuelve dudas de una buena forma
Muy organizada y puntual
Prepara bien su claseCons: Califica demasido duro los informes
En el primer informe, baja por cosas que no explico en su clase sobre informes
Es difícil dejar la materia alta","3.7"
"1576039484-1528","https://losestudiantes.co/","Jose Jairo Giraldo GalloFísica","https://losestudiantes.co/universidad-nacional/fisica/profesores/jose-jairo-giraldo-gallo","Excelente persona. Muy amable, respetuoso, colaborador y atento. Aunque en clases, tiende a desviarse de la temática, siempre habla sobre asuntos interesantes de los cuales uno siempre aprende.
Es buen orientador, y ofrece buenos aportes a los trabajos de investigación que uno le presenta. Le agradezco por todo lo aprendido, lo cual seguramente pondré en práctica.","5"
"1576039147-1403","https://losestudiantes.co/","Carlos Augusto Hernandez RodriguezFísica","https://losestudiantes.co/universidad-nacional/fisica/profesores/carlos-augusto-hernandez-rodriguez","Pros: Su explicación y amor por explicar su materia genera que uno se interese por su clase, y a pesar de que la clase se basa en exposiciones durante el semestre, participa mucho y demuestra mucho conocimiento sobre el tema.Cons: Solo hace dos parciales con mucho porcentaje. Califica asistencia","4.8"
"1576039083-1382","https://losestudiantes.co/","Karen Milena Fonseca RomeroFísica","https://losestudiantes.co/universidad-nacional/fisica/profesores/karen-milena-fonseca-romero","Excelente docente e investigadoraPros: Karen fue mi profesora de mecánica cuántica en el 2005 y en el 2006. La primera vez que tomé el curso lo perdí por mi mediocre desempeño. La segunda vez lo pasé con buena nota dado que me tomé la materia en serio, como debe ser. Gracias a su metodología logré comprender los fundamentos básicos de la mecánica cuántica. En particular, me parece relevante su enfoque de acudir a diferentes fuentes  bibliográficas para abordar el formalismo cuántico desde varios puntos de vista. Adicional a ello su metodología en clase ofrece las herramientas para realmente comprender una materia tan relevante. Cons: Ninguna crítica relevante. En general Karen desempeña un trabajo docente idóneo","5"
"1576039219-1425","https://losestudiantes.co/","Luis Demetrio Lopez CarreñoFísica","https://losestudiantes.co/universidad-nacional/fisica/profesores/luis-demetrio-lopez-carre%C3%B1o","Explica bastante bien y resuelve todo tipo de dudas tanto en horas de clase como en la oficina,  deja bastante talleres y actividades para la casa pero los pocos parciales que realiza tienen el mismo valor que cualquiera de esas actividadesPros: Resuelve dudas sin horario fijo","4.5"
