web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576098131-89","https://losestudiantes.co/","Jaime Torres BazurtoAgronomía","https://losestudiantes.co/universidad-nacional/agronomia/profesores/jaime-torres-bazurto","El principio es bueno, se aprende a hacer un análisis de suelo... Pero ya","4.1"
"1576098152-90","https://losestudiantes.co/","Horacio Alfredo Alvarez BarraganAgronomía","https://losestudiantes.co/universidad-nacional/agronomia/profesores/horacio-alfredo-alvarez-barragan","Explica bien el sector floricultor del país y no.","4.5"
"1576098124-88","https://losestudiantes.co/","Marco Cabezas GutierrezAgronomía","https://losestudiantes.co/universidad-nacional/agronomia/profesores/marco-cabezas-gutierrez","Excelente profesor, tiene la facilidad para que se aprenda muy bien sus temas y los concreta en la salida de campo.","5"
"1576098174-91","https://losestudiantes.co/","Laureano Guerrero JimenezAgronomía","https://losestudiantes.co/universidad-nacional/agronomia/profesores/laureano-guerrero-jimenez","Excelente profesor, deja a un lado lo que se puede encontrar en Internet para centrarse en lo importante","5"
