web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576095741-1","https://losestudiantes.co/","Edgar Malagon BelloTrabajo Social","https://losestudiantes.co/universidad-nacional/trabajo-social/profesores/edgar-malagon-bello","El profesor nunca explica otras epistemologías acerca del Trabajo Social, únicamente la que él ha desarrollado a lo largo de su vida. Hace preguntas muy ambiguas y en su clase no se fomenta el pensamiento crítico. El estudiante normalmente se limita a responder lo que el profesor quiere. Pros: Aparente amabilidad.Cons: Clases repetitivas.
Poca preparación de la clase.
No hay un  calendario académico establecido.
 No suele explicar detalladamente la manera en que se deben realizar los trabajos.","2.3"
"1576095741-2","https://losestudiantes.co/","Edgar Malagon BelloTrabajo Social","https://losestudiantes.co/universidad-nacional/trabajo-social/profesores/edgar-malagon-bello","Profesor carismático con fuerte influencia de la división del Trabajo Social en profesión y disciplina, categorizando estás como variantes de la ciencia y la práctica, suele dar la materia historia del trabajo social","4.2"
