web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576033879-659","https://losestudiantes.co/","Andres Rodriguez VillabonaDerecho","https://losestudiantes.co/universidad-nacional/derecho/profesores/andres-rodriguez-villabona","Buen profesor. La parte que da él de la materia es un poco más aburrida que la de el profesor Rodrigo, pero es una buena materia y explica bien los contenidos.","4.5"
"1576033944-686","https://losestudiantes.co/","Maria Rosalba Buitrago GuzmanDerecho","https://losestudiantes.co/universidad-nacional/derecho/profesores/maria-rosalba-buitrago-guzman","Pros: 1. Ordenada en sus clases..
2. Claridad en las notas.
3. Se evalúa lo que se estudia.
4. Fomenta la partipación en clase.
5. Incentiva el gusto por el Derecho Laboral y sus propósitos.","4.5"
"1576034276-836","https://losestudiantes.co/","Eddy Rolando Ramirez GomezDerecho","https://losestudiantes.co/universidad-nacional/derecho/profesores/eddy-rolando-ramirez-gomez","Tomar D. Económico con él es toda una experiencia, la clase del man es como el ajo, hay gente que le encanta o hay gente que la detesta. El tema central de mi reseña, es que es una clase muy densa, y que si no prestas 100% de atención durante todas las 3 horas que el man habla sin parar, toca hacer refuerzo por fuera de clases. Aparte de eso, es de las clases en las que mas he sentido que he aprendido, y él es un profesor que se preocupa por la clase de personas que egresan de la universidad. Una persona muy integral.Pros: Responsable, prepara todas sus clases casi que minuto a minuto, es claro, explicativo, usa ejemplos, es paciente, ético, coherente, crítico, cómico, amigable...Cons: Su clase es muy densa, algunos pueden sentirse ofendidos por su humor (severas florecitas).","5"
"1576033858-642","https://losestudiantes.co/","Rosa Elizabeth Guio CamargoDerecho","https://losestudiantes.co/universidad-nacional/derecho/profesores/rosa-elizabeth-guio-camargo","Una excelente profesora, se preocupa porque uno aprenda y es muy amable con uno. Tiene una conceptualización muy clara de la clase y sigue el programa según lo acordado con los estudiantes.","5"
"1576034254-808","https://losestudiantes.co/","Rodrigo Uprimny YepesDerecho","https://losestudiantes.co/universidad-nacional/derecho/profesores/rodrigo-uprimny-yepes","Una chimba jajaja no sé cómo describirlo mejor. 
Sabe demasiado del tema, es muy esquemático, comprensivo y le gusta que los estudiantes sean los que participen.","5"
"1576033723-611","https://losestudiantes.co/","Jose Yesid Benjumea BetancurDerecho","https://losestudiantes.co/universidad-nacional/derecho/profesores/jose-yesid-benjumea-betancur","Yesid Benjumea es uno de los mejores docentes de la facultad. Durante todo el semestre fue muy responsable con la clase, se nota la preparación previa de las temáticas, siempre inició las clases con la estructura de lo que se debía ver y abarcó con suficiencia todos los temas que planteaba. Las evaluaciones fueron acordes con los temas abordados en clase y no fueron complicadas para las personas que asistieron con responsabilidad a clase. Es muy puntual y trató de abarcar la mayoría de temática posible dado que son tres cursos en uno, y aun así explicó con claridad las bases necesarias tanto del negocio jurídico, como de obligaciones y responsabilidad civil.Pros: -Es un gran maestro con gran experiencia en las temáticas del curso.
-Da plus de temas como derecho del consumo y derecho financiero/bursátil Cons: -Las monitorias fueron malas,  no se sentía conexidad con las temáticas que iba dando el profesor ni estructura alguna sobre los temas abordados.","5"
"1576033686-598","https://losestudiantes.co/","Edgar Augusto Ardila AmayaDerecho","https://losestudiantes.co/universidad-nacional/derecho/profesores/edgar-augusto-ardila-amaya","Es la persona que más sabe sobre Justicia Comunitaria en la Facultad de Derecho. Es el tema que le apasiona por lo cual las clases son muy buenas y criticas.  Es una persona amable y un académico muy bueno, ayuda a los estudiantes a investigar y a participar en los espacios relacionados con la Justicia Comunitaria.Pros: Tema bueno
Clases dinámicas y participativas
Bibliografía excelente 
Monitora juiciosaCons: A veces suele desordenar el programa de la clase por la falta de tiempo","5"
"1576034276-833","https://losestudiantes.co/","Eddy Rolando Ramirez GomezDerecho","https://losestudiantes.co/universidad-nacional/derecho/profesores/eddy-rolando-ramirez-gomez","Pros: conoce el tema
brinda información clara y práctica
como docente en el aula de clase es buenoCons: como ser humano en un aula de clase es patético","3"
"1576033628-582","https://losestudiantes.co/","Ivonne Patricia Leon PeñuelaDerecho","https://losestudiantes.co/universidad-nacional/derecho/profesores/ivonne-patricia-leon-pe%C3%B1uela","Muy buena profesora, la clase es amena si a uno le interesa los temas, la clase es fácil es fundamental para entender temas de otras clases... Ahora da modelos de desarrollo ...","5"
"1576033686-595","https://losestudiantes.co/","Edgar Augusto Ardila AmayaDerecho","https://losestudiantes.co/universidad-nacional/derecho/profesores/edgar-augusto-ardila-amaya","Pros: Despierta al estudiante, uno aprende y se motiva  bastante en sus clases.
Amable.
Interesantes sus clases.","5"
