web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576034975-898","https://losestudiantes.co/","Carlos Arturo Acosta De GreiffDiseño Gráfico","https://losestudiantes.co/universidad-nacional/diseno-grafico/profesores/carlos-arturo-acosta-de-greiff","Un profesor ya muy entrado en años, su clase ha quedado atrapada en una aburrida y obsoleta manera de ver la historia, debería el maestro intentar dinámicas mas enérgicas, porque para la mayoría de las personas resulta tediosa esta manera de enseñar.
Falta con mucha regularidad a clase, y llega tarde, las clases las comienza a destiempo.
Conoce bastante de lo que habla y da buena bibliografía (un poco obsoleta), incluso sabe anécdotas bastante entretenidas.
Habla muy suavemente y su voz arrulla.
Parece que no lee los trabajos de los estudiantes, porque he conocido de estudiantes que rotan el mismo trabajo durante semestres y no ha pasado nada.
No respeta los tiempos de las entregas y permite que los estudiantes entreguen mucho después del tiempo establecido, es demasiado humanitario.Pros: Conoce del tema.Cons: Falta con regularidad e incluso a veces no notifica con antelación.
Sus clases son aburridas si usted no esta acostumbrado a eternos monólogos.
No lee los trabajos de los estudiantes y NUNCA los entrega ni con retroalimentación ni nada.
Aunque amenace con que la materia se pierde por fallas esto no ocurre.
No empieza puntual.","3.2"
"1576034925-888","https://losestudiantes.co/","Federman Contreras DiazDiseño Gráfico","https://losestudiantes.co/universidad-nacional/diseno-grafico/profesores/federman-contreras-diaz","De lo peor de Gráfico, no se aprende mucho por parte de el, es en las lecturas donde se encuentra la información, eso si, los títulos que da son muy contemporáneos y buenos. Su clase es anticuada para la materia, se pone una lectura y la clase siguiente se comenta, sin embargo la clase por alguna razón no fluye de esta manera y con lista en mano pide una opinión de los estudiantes, cual escuela...
Aunque el maestro es un excelente artista, como educador deja bastante que desear.
Sus clases resultan en monólogos interminables y la calificación final prácticamente resulta siendo por caras.Pros: Buen material, tanto literario como audiovisual.Cons: Las clases son altamente inconsistentes, a veces incluso no llega a clase y simplemente no avisa, otras, llega bien puntual y no deja entrar a nadie.
Termina calificando cualquier cosa menos algo relacionado con la clase.
Maneja el mismo discurso para todas las materias y las clases.","2.4"
"1576034868-885","https://losestudiantes.co/","Carlos Martin Riaño MoncadaDiseño Gráfico","https://losestudiantes.co/universidad-nacional/diseno-grafico/profesores/carlos-martin-ria%C3%B1o-moncada","Es un excelente profe, riguroso con las fechas de entrega pero da retroalimentaciones en clase, es comprensivo con algunas inasistenciasPros: Es muy amigableCons: No modifica fechas de entrega","5"
"1576034833-878","https://losestudiantes.co/","Cesar Puertas CespedesDiseño Gráfico","https://losestudiantes.co/universidad-nacional/diseno-grafico/profesores/cesar-puertas-cespedes","Es un profesor muy grato, expele la pasión por lo que hace en la docencia, lo cual resulta entusiasmante. Conoce bastante del tema de lo que enseña pero de cierta manera es tímido, hay que instigarlo para que hable de esas cosas, sus diapositivas no son las mejores, podría mejorarlas demasiado.
Es muy generoso en cuanto a materiales y presta los de el durante la clase o incluso para las entregas finales. Su metodología esta muy abierta al cambio y la trata de enriquecer constantemente con criticas por parte de los estudiantes, en las entregas es muy flexible lo cual es muy apropiado para las materias que dicta.
Pros: Bondadoso.
Apasionado por lo que enseña.
Experiencia real y contemporánea por parte de lo que enseña.
Cuenta con bastante material.
Cons: Un poco impuntual.
El plano historico queda relegado.","4.6"
"1576034940-891","https://losestudiantes.co/","Zenaida Osorio PorrasDiseño Gráfico","https://losestudiantes.co/universidad-nacional/diseno-grafico/profesores/zenaida-osorio-porras","Apasionada por la pedagogía, busca diversos temas y metodologías que adicionalmente vincula a investigaciones que tiene ella. Lecturas largas en distintos idiomas. Cuestiona abiertamente diversos entandares de la sociedad, intenta vincular muchas cosas a la clase, entrevistas, libros, música.
Pero a la final termina calificando por caras; muy desordenada con las notas.

Pros: Se aprenden metodologías de trabajo.Cons: Demanda mucho tiempo, incluso adicional a la clase, las clases terminan después de las horas previstas.
Las notas de las clases se rigen únicamente por trabajos en los que ella esta investigando, las entregas no son flexibles.","3.2"
"1576034804-874","https://losestudiantes.co/","Antonio Marquez BullaDiseño Gráfico","https://losestudiantes.co/universidad-nacional/diseno-grafico/profesores/antonio-marquez-bulla","Buen metodo de enseñanza, no se aprende solo de la materia si no de muchos otros temas, el contenido de la clase es facil de digerir y evalua a sus estudiantes por medio de notas puestas por todo el grupo en una puesta en comun.Pros: Nunca se va dormir en clase y va a tener la certeza de que querra seguir inscribiendo con el Cons: Los vagos se aprovechan y se colocan nota que no merecen","5"
"1576034804-875","https://losestudiantes.co/","Antonio Marquez BullaDiseño Gráfico","https://losestudiantes.co/universidad-nacional/diseno-grafico/profesores/antonio-marquez-bulla","Es una persona muy humanitaria, fácilmente uno lo puede convencer de cualquier excusa para salvar la nota o llegar tarde a su clase.
Conoce mucho del tema pero todavía no ha encontrado la manera adecuada de enseñarlo, a veces es muy libre la metodología otras por el contrario bastante aprisionante.
Pero al final, la confianza del profesor resulta tal que la nota final de rige por una auto evaluación donde los mas ""vivos"" se dan notas que ni en sueños merecerían.
Se maneja una libreta para controlar las asistencias y estas en algunas ocasiones tienen un leve peso en la nota.Pros: Conoce mucho del tema.
Tiene un montón de libros dispuesto a prestarlos de todos los estilos que manejan los temas que aborda.
Puntual.
Generoso en muchos aspectos.
Sensible a todo tipo de temas sociales.
Intenta concientizar a los estudiantes sobre diversos problemas sociales.Cons: Flexible con las notas.
No toma voz ni voto en ocasiones donde es necesario.
A veces no parece el profesor a la hora de poner notas.","3.5"
"1576034940-892","https://losestudiantes.co/","Zenaida Osorio PorrasDiseño Gráfico","https://losestudiantes.co/universidad-nacional/diseno-grafico/profesores/zenaida-osorio-porras","Muy exigente con las lecturas, toca hacer lectura analítica, investigar mucho, poner material en drive, hacer videos. Demanda mucho mucho tiempo y asesorías extra con ellaPros: Se aprendeCons: Se sufre mucho","3.4"
"1576034854-883","https://losestudiantes.co/","Ivan Andres Benavides CarmonaDiseño Gráfico","https://losestudiantes.co/universidad-nacional/diseno-grafico/profesores/ivan-andres-benavides-carmona","Es un excelente profesor, uno de los mejores del plan de estudios, como persona también es genial.
Se preocupa porque sus estudiantes aprendan y busca maneras de innovar la clase en caso de que el grupo no responda a las ya manejadas.
Es muy organizado con las notas y con la manera de impartir las clases.
La metodología es básicamente una presentación por diapositivas muy bien elaboradas las cuales van acompañadas de notas y explicaciones por parte del profesor, en las cuales aprovecha e incluso lanza jocosos comentarios.Pros: Organizado en trabajos y notas.
Flexible en cuanto a los trabajos, si los estudiantes lo desean pueden cambiar partes de la entrega.
Puntual.
Chistoso.
Se mantiene informado de lo que es tendencia u próximas tecnologías.
Cons: Puede ser bastante flexible con los estudiantes que no responden.","5"
"1576034883-886","https://losestudiantes.co/","Marco Aurelio Cardenas CardozoDiseño Gráfico","https://losestudiantes.co/universidad-nacional/diseno-grafico/profesores/marco-aurelio-cardenas-cardozo","Muy aburridas las clases, el profesor se guia mas por parámetros estéticos según el que por calificaciones objetivas. Maneja una muy poca bibliografía y es bastante obsoleta.Pros: Conoce un poco de los programas para proceder técnicamente.Cons: Aburrido.
Clases monótonas.
Largos discursos que no llevan a nada.
Juicios abstractos guiados mas por presentimientos del profesor.","2.8"
