web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576027907-95","https://losestudiantes.co/","Edgard Robert Barbosa CruzIngeniería Civil y Agrícola","https://losestudiantes.co/universidad-nacional/ingenieria-civil-y-agricola/profesores/edgard-robert-barbosa-cruz","Se da re duro por el puesto del peor profesor de la carrera, de verdad uno no se explica cómo alguien tan nefasto dicta en la Nacional... Su método de copiar en un cuaderno todo lo que dice en las diapositivas es absurdo y anticuado, y hace que se retenga muy poco de lo que explica, por el contrario a lo que él cree. Es arrogante, sus clases son prácticamente recitadas tal cual lo que dice en las diapositivas y no explica casi nada. Daría la misma vaina no ir a clase (no lo haga porque jode por la asistencia) porque llega el día del parcial y nadie sabe nada, la única razón por la que la gente mete con él (yo también lo hice y me arrepiento) es porque califica suave y repite los parciales. Es la forma más mediocre en que pasé una materia por culpa alguien que podría ser cualquier cosa menos un profesor universitario. Pros: No tiene nada bueno Cons: Mediocre
Anticuado
Arrogante
Aburrido","1.5"
"1576027871-90","https://losestudiantes.co/","Andres Felipe Rodriguez VasquezIngeniería Civil y Agrícola","https://losestudiantes.co/universidad-nacional/ingenieria-civil-y-agricola/profesores/andres-felipe-rodriguez-vasquez","El profesor orienta las clases hacia las tecnologias que se usan en el campo laboral de la geomática, con él no se ve fotogrametría. A veces se me hizo difícil entenderle los temas y cuando dejaba los talleres no se hacía entender bien, sin embargo, siempre estuvo dispuesto a responder inquietudes y dudas. Deja consultas pequeñas de vez en cuando, es muy recomendable hacerlas porque esas pueden ser tema de un quiz sorpresa. Todo lo que se aprende con el es muy útil","4"
"1576027570-21","https://losestudiantes.co/","Caori Patricia Takeuchi TamIngeniería Civil y Agrícola","https://losestudiantes.co/universidad-nacional/ingenieria-civil-y-agricola/profesores/caori-patricia-takeuchi-tam","Es buena profe, una de las mejores en la linea de estructuras, hay que estudiar con ella constantemente, debido a su metodo de calificación, algo que facilita que uno aprenda bien de los temas","4.8"
"1576027907-94","https://losestudiantes.co/","Edgard Robert Barbosa CruzIngeniería Civil y Agrícola","https://losestudiantes.co/universidad-nacional/ingenieria-civil-y-agricola/profesores/edgard-robert-barbosa-cruz","Me pareció muy buen profesor, tiene manejo del tema y explica todo de manera muy detallada, es muy puntual y las prácticas de laboratorio son demostrativas así que no exige demasiado Pros: Ayuda en los parciales, Deja sacar una hoja con toda la información que uno necesite Cons: Cierra temprano la puerta del salón y no deja entrar a clase","5"
"1576027792-65","https://losestudiantes.co/","Laura Lucia Constain MontoyaIngeniería Civil y Agrícola","https://losestudiantes.co/universidad-nacional/ingenieria-civil-y-agricola/profesores/laura-lucia-constain-montoya","Pros: Nada.Cons: Pésima docente. 
Nada imparcial con las notas.
En mi curso de diseño estructural aprendí que lo que ella enseñó en el curso de análisis estructural estaba todo mal.","1.5"
"1576028021-116","https://losestudiantes.co/","Rose Marie Aldana BoutinIngeniería Civil y Agrícola","https://losestudiantes.co/universidad-nacional/ingenieria-civil-y-agricola/profesores/rose-marie-aldana-boutin","La profesora Roses Marie es muy buena persona y docente. Siento que aprendí mucho en sus clases y que salí con buenas bases en el tema. Se nota el interés de la profesora para que aprendamos y la preparación de sus clases, las cuales en algunas ocasiones se tornan monótonas,  pero en general fueron muy buenas clases.","4.6"
"1576028151-145","https://losestudiantes.co/","Edgar Francisco Gomez AceroIngeniería Civil y Agrícola","https://losestudiantes.co/universidad-nacional/ingenieria-civil-y-agricola/profesores/edgar-francisco-gomez-acero","El mejor profesor que tuve. Sabe combinar la teoría con la práctica, es exigente y se aprende mucho con él.","4.5"
"1576027771-61","https://losestudiantes.co/","Ferney Betancourt CardozoIngeniería Civil y Agrícola","https://losestudiantes.co/universidad-nacional/ingenieria-civil-y-agricola/profesores/ferney-betancourt-cardozo","La clase es un poco monotona pero se aprende bastante, es una persona paciente, aconseja mucho a sus estudiantes y los hace ""aterrizar"" en el contexto y la importancia que implica desempeñarse en la Ingeniería Civil","4.5"
"1576027484-3","https://losestudiantes.co/","Maritzabel Molina HerreraIngeniería Civil y Agrícola","https://losestudiantes.co/universidad-nacional/ingenieria-civil-y-agricola/profesores/maritzabel-molina-herrera","Es una gran ingeniera, sabe demasiado de estática. Ella deja ejercicios en clase que suben puntos en parciales, sin embargo solo recibe los 2 primeros y suele colocar los más difíciles de cada tema, razón por la cual es indispensable estar estudiando constantemente. Los parciales son bastante pesados pero no hay que dejarse asustar, especialmente para el primero es recomendable hacer la mayor cantidad de ejercicios del beer y aprender el método del triángulo de fuerzas concurrentes. 

Si no se tiene suficiente tiempo para dedicarle a la materia es mejor no meterla con ella pues va a sufrir demasiado; y si se tiene un ritmo constante de trabajo no hay que dejarse asustar y muy seguramente la deje muy alta. Hay que estudiar bastante en horario extra-clase.Pros: Gran conocimiento de la profe
 Ejercicios en clase que suben puntos
Cuando hace ejercicios en el tablero explica bien el procedimiento para resolverlos.Cons: La materia con ella consume mucho tiempo, sin embargo si se estudia constantemente se puede dejar muy alta.
Al principio del curso usa demasiadas diapositivas.","4.7"
"1576027663-39","https://losestudiantes.co/","Carlos Alfonso Gomez GuacanemeIngeniería Civil y Agrícola","https://losestudiantes.co/universidad-nacional/ingenieria-civil-y-agricola/profesores/carlos-alfonso-gomez-guacaneme","Muy buen profesor, explica de manera clara y no adelanta hasta que todos entiendan, es demasiado justo en la calificación, realiza tres parciales y un examen final. 
Los parciales son para realizar sin margen de error para poderlo terminar, los califica por porcentajes dependiendo lo que tenga bien.
Los informes son duros, y revisa todo. Las tareas...
Leer más...Pros: Justo en la calificación.","5"
