web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576031327-288","https://losestudiantes.co/","Miguel Angel Gamboa GaitanBiología","https://losestudiantes.co/universidad-nacional/biologia/profesores/miguel-angel-gamboa-gaitan","Sus clases no son ni buenas ni malas, improvisó prácticas de laboratorio que hicieron las clases y la materia algo más interesantes, pero debido al tamaño del curso y de los grupos de trabajo fue difícil realizar las prácticas adecuadamente, pidió bitácora e informe pero nunca fue claro cómo se debían hacer correctamente ya que las notas que puso en bitácora fue la misma para todos y en el informe fueron notas inferiores a 4. 
El porcentaje restante fue un cuestionario de 50 preguntas que envió al final del semestre, el cual tomó a muchos fuera de lugar porque nunca hubo un acuerdo con él sobre cómo evaluar la parte final del módulo, aquí le faltó seriedad al profesor. Esperaba una mejor nota en este módulo.
Cons: A mi parecer no toma con seriedad el curso
Las calificaciones no fueron objetivas
Le da un enfoque muy botánico a la materia","2.5"
"1576031370-298","https://losestudiantes.co/","Luis Martin Caballero RuedaBiología","https://losestudiantes.co/universidad-nacional/biologia/profesores/luis-martin-caballero-rueda","El docente tiene una larga experiencia en las diferentes aplicaciones de la fisiología vegetal, rescatando por lo enseñado aquellas asociadas al campo agrícola. En las clases fue evidente el amplio conocimiento que tiene en esta área y lo vincula constantemente con el impacto social que esto conlleva. El curso con él puede ser apropiado para estudiantes de las carreras de zootecnia, ingeniería agrícola y agronomía, que no requieren de un entendimiento de la asignatura ligada estrechamente al fundamento bioquímico y mecánico que ésta tiene para la carrera de biología. Su exigencia en la materia es muy baja, ya que mantiene la idea de que el que quiere aprender se esforzará por ello y no estará en busca de una nota, ésta sencillamente será un reflejo. Sin embargo, si uno le pone atención a sus explicaciones y sigue sus consejos de lecturas, se puede aprovechar el curso de gran manera; aunque para la carrera de biología quizás sean mejor las profes Fagua y Melgarejo. Por último, el trato personal es excelente.","4"
"1576031952-428","https://losestudiantes.co/","Ernesto Javier Puertas DellepianesBiología","https://losestudiantes.co/universidad-nacional/biologia/profesores/ernesto-javier-puertas-dellepianes","Excelente profesor. Si bien en ocasiones los temas se hacen tediosos, es un profesor que utiliza situaciones comunes para que sea más fácil entender lo que dice. Realiza trabajos en grupo y parciales en grupo,además de no encerrarse a ser una clase de diapositivas, me explico, utiliza videos, info grafías,  lecturas, diferentes estilos de enseñanza que hacen la clase más amena.","5"
"1576031858-415","https://losestudiantes.co/","Jesus Orlando Vargas RiosBiología","https://losestudiantes.co/universidad-nacional/biologia/profesores/jesus-orlando-vargas-rios","Excelente profesor, muy buena persona, explica cosas muy interesantes aunque a veces habla un poco lento, pero vale la pena tratar de prestarle toda la atención del mundo. Definitivamente saca lo mejor de sí en las salidas de campo, afianza lo aprendido en la teoría y motiva mucho para seguir profundizando en la ecología.Pros: - Excelente persona
- Muy buen profesor
- Increíble en campo
- Demasiado conocimientoCons: - A veces habla muy lento","4.8"
"1576031285-275","https://losestudiantes.co/","Alejandro Chaparro GiraldoBiología","https://losestudiantes.co/universidad-nacional/biologia/profesores/alejandro-chaparro-giraldo","Las clases llegan a ser tediosas y aburridas, pero explica bien y se le entiende. La nota final del modulo es la del parcial, no saca ninguna otra nota,parcial el cual llega a ser confuso, se debe tener conocimientos de temas los cuales no explicó en clase.","3.5"
"1576031320-282","https://losestudiantes.co/","Carlos Eduardo Sarmiento MonroyBiología","https://losestudiantes.co/universidad-nacional/biologia/profesores/carlos-eduardo-sarmiento-monroy","El paladin del combo de evolutiva. Este profesor la verdad genera mucha incógnita pero cambia radicalmente el pensamiento. El parcial depende de cuánto usted estudie, pero eso sí, trate de comprender muy bien todo y estudie muy bien. No se confíePros: - Generador de expectativas sobre el análisis
-Crea un áura de crítica y de lógica bastante interesante
- Es muy amable y pregunta para que los estudiantes comprendanCons: Los parciales son duros si uno No los estudia.","4"
"1576031456-325","https://losestudiantes.co/","Luis Carlos Montenegro RuizBiología","https://losestudiantes.co/universidad-nacional/biologia/profesores/luis-carlos-montenegro-ruiz","Muy buen profesor, sabe bastante de los temas y más de algas. Apasionado a la enseñanza. Pros: - sabe explicar los temas bien
- enfoque social de las clases
- talleres relajadosCons: - demorar notas","4.8"
"1576031830-410","https://losestudiantes.co/","Nubia Estella Matta CamachoBiología","https://losestudiantes.co/universidad-nacional/biologia/profesores/nubia-estella-matta-camacho","Es buena docente, sin embargo tiende a guiarse mucho por las diapositivas y espera que vengas con conocimientos anteriores. Se estresa fácilmente si se da cuenta que uno no ha estudiado el tema y normalmente pone muchos trabajos. 
Pero como persona es un amor, parece una mamá :3Pros: Temas bien explicados y muchos ejercicios para afianzar conocimientos.
Refuerza la investigación.Cons: Muchos trabajos, sobre todo ensayos y escritos.","4"
"1576031694-390","https://losestudiantes.co/","Luis Juan Rubiano OlayaBiología","https://losestudiantes.co/universidad-nacional/biologia/profesores/luis-juan-rubiano-olaya","Es buen docente, maneja el tema a la perfección y hace la clase muy amena ya que habla de experiencias graciosas que ayudan al estudiante a ubicarse mejor en el tema. 
En cuanto a los parciales son muy fáciles, pregunta exactamente lo que dijo así que hasta al dato más pequeño hay que ponerle atención. 
En las clases tiende a desviarse un poco del tema pero vuelve a retomar fácilmente y los temas son muy interesantes. Lo único es que algunas imágenes que pone en las diapositivas son un poco sorprendentes.
Cómo persona es lo máximo, es muy respetuoso y transparente y está abierto a dudas o argumentos. Pros:","4.5"
"1576031558-355","https://losestudiantes.co/","Joao Victor Muñoz DuranBiología","https://losestudiantes.co/universidad-nacional/biologia/profesores/joao-victor-mu%C3%B1oz-duran","Excelente profesor","4.8"
