web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576101941-872","https://losestudiantes.co/","Kelly Johana Vera DiettesLingüistica","https://losestudiantes.co/universidad-nacional/linguistica/profesores/kelly-johana-vera-diettes","Pros: Orden
Conocimiento","5"
"1576101841-858","https://losestudiantes.co/","Lina Marcela Marañon ZuluagaLingüistica","https://losestudiantes.co/universidad-nacional/linguistica/profesores/lina-marcela-mara%C3%B1on-zuluaga","Excelente profesora, se trabaja mucho en clase.Pros: Realiza muchos ejercicios
Es amable y  buena persona","5"
"1576102104-886","https://losestudiantes.co/","William Alcides Rodriguez GarciaLingüistica","https://losestudiantes.co/universidad-nacional/linguistica/profesores/william-alcides-rodriguez-garcia","Hace comentarios machistas constantemente.","2.5"
"1576101856-864","https://losestudiantes.co/","Carolina Gonzalez LeonLingüistica","https://losestudiantes.co/universidad-nacional/linguistica/profesores/carolina-gonzalez-leon","La profesora es muy amable, dicta muy bien, es super genial, deja bastante trabajo pero se aprende muchooooo. Vi francés con ella y fue genial","5"
"1576102246-905","https://losestudiantes.co/","Oscar Yesid Zabala SandovalLingüistica","https://losestudiantes.co/universidad-nacional/linguistica/profesores/oscar-yesid-zabala-sandoval","Muy buen profesor, excelente explicando, dinamicas buenas y siempre tiene datos interesantes para los estudiantes","5"
"1576102132-887","https://losestudiantes.co/","Olga Felisa ArdilaLingüistica","https://losestudiantes.co/universidad-nacional/linguistica/profesores/olga-felisa-ardila-ardila","Pros: ConocimientoCons: Clase poco dinámica","2.5"
"1576101785-856","https://losestudiantes.co/","Paul William Cifuentes VelasquezLingüistica","https://losestudiantes.co/universidad-nacional/linguistica/profesores/paul-william-cifuentes-velasquez","No considero que sea el peor profesor del mundo, pero tampoco es excelente
Dentro de todo explica bien, sobretodo cuando hay preguntas. Pero no se toma las clases en serio, incluso a veces pareciera que lo hace de mala gana.
Sin embargo, con un poco de trabajo autónomo, uno aprende mucho.Pros: Siempre responde bien a las preguntas, incluso si toca explicar dos o tres vecesCons: Impuntual 
Falta a clases 
En ocasiones hace la clase de mala gana","3.7"
"1576102090-884","https://losestudiantes.co/","Paola Isabel Mejia RodriguezLingüistica","https://losestudiantes.co/universidad-nacional/linguistica/profesores/paola-isabel-mejia-rodriguez","Pros: Clase dinámica
Interés
Talleres
OrdenCons: Faltó más seguridad","4.5"
"1576102189-888","https://losestudiantes.co/","Camilo Alberto Robayo RomeroLingüistica","https://losestudiantes.co/universidad-nacional/linguistica/profesores/camilo-alberto-robayo-romero","Un excelente profesor con aprecio a sus estudiantes, un método de enseñanza ameno y enfocado a prender más que a la nota. Clase divertida y atiende dudas en cualquier momento.Pros: Clase amena
La nota no es lo mas importante
Se aprende mucho
Puede preguntarse en cualquier lugar
Aprecia a sus estudiantes (y los anima)
Sabe mucho","5"
"1576101785-854","https://losestudiantes.co/","Paul William Cifuentes VelasquezLingüistica","https://losestudiantes.co/universidad-nacional/linguistica/profesores/paul-william-cifuentes-velasquez","Pros: - no conozco a nadie que pierda con ese tipo.
-avisa a tiempo cuando no va a ir.
- es bastante relajado
Cons: -siempre llega tarde.","2"
