web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576036524-1093","https://losestudiantes.co/","Belén Sefair LópezEstadística","https://losestudiantes.co/universidad-nacional/estadistica/profesores/bel%C3%A9n-sefair-l%C3%B3pez","es muy escuelera pero a la vez muy tierna molestando por todo, sabe mucho del temaPros: explica muy bienCons: cansona con la asistencia y puntualidad","4"
"1576036688-1141","https://losestudiantes.co/","Fabio Humberto Nieto SanchezEstadística","https://losestudiantes.co/universidad-nacional/estadistica/profesores/fabio-humberto-nieto-sanchez","Es un excelente docente, referente en cualquier tema de series de tiempo y es alguien a tener en cuenta en la realización de proyectos de grado. Debe uno de ponerle atención a todo lo que el diga, pues el no hace un manuscrito en el tablero y si uno no toma notas con precisión, la pasa uno duro. Los parciales que él hace (cuatro en series univariadas) son muy difíciles y es necesario estudiar con parciales de semestre pasados Pros:  - Exigente, uno aprende a profundidad.
- Los parciales no cambian mucho respecto a semestre anteriores.
- Los proyectos son trabajos necesariamente de aplicación realCons: - Si uno no cuenta con parciales de semestres pasados, difícilmente pasara 
- Si no tiene un buen habito en la toma de notas, recurrir a los apuntes servirá de poco.","5"
"1576036603-1114","https://losestudiantes.co/","Jaime Abel Huertas CamposEstadística","https://losestudiantes.co/universidad-nacional/estadistica/profesores/jaime-abel-huertas-campos","¿Es broma? ¿Este tipo sigue siendo profesor?","1.5"
"1576036581-1104","https://losestudiantes.co/","Sergio Alejandro Calderon VillanuevaEstadística","https://losestudiantes.co/universidad-nacional/estadistica/profesores/sergio-alejandro-calderon-villanueva","Es un profesor demasiado sesgado, si le caes mal te hace la vida imposible. En series de tiempo traduce y copia en el tablero el libro guía, no es buen didacta en la materia, se aprende mejor autónomamente, sin embargo, es extremadamente puntual y llama lista apenas llega, si llama y no estás, pone la falla y si es necesario hace perder por fallas.

Hay personas a quienes ensalsa y otras a quienes ridiculiza en frente del curso. Sus respuestas son en realidad bastante groseras cuando él quiere, es  mala persona en realidad.
No mostró en el curso manejo de series de tiempo.","1.5"
"1576036524-1092","https://losestudiantes.co/","Belén Sefair LópezEstadística","https://losestudiantes.co/universidad-nacional/estadistica/profesores/bel%C3%A9n-sefair-l%C3%B3pez","Amo a esa profe. Es muy querida, amable y explica bien. Tiene buen humor y sus clases son chéveres. De las mejores docentes que he tenido en mi paso por la Universidad.Pros: Escucha a sus estudiantes.
Ayuda mucho.
Súper gentil aclarando dudas.Cons: Es un poquito escuelera.
Los talleres que deja son algo largos.","4.5"
"1576036588-1106","https://losestudiantes.co/","Liliana Blanco CastañedaEstadística","https://losestudiantes.co/universidad-nacional/estadistica/profesores/liliana-blanco-casta%C3%B1eda","Excelente profesora. Expica muy bien, domina el tema y está abierta a las dudas. Los parciales tienen una dificultad justa, y si se hacen todos los talleres se llega bien preparado a estos.

Para los que piensen meter con ella, recomiendo que estudien un poco algo de conjuntos antes de entrar. Pros: Da algunas ayudas para la nota (aunque no son muchas)","5"
"1576036774-1170","https://losestudiantes.co/","Sandra Vergara CardozoEstadística","https://losestudiantes.co/universidad-nacional/estadistica/profesores/sandra-vergara-cardozo","Pros: Es fácil, ayudo mucho, parciales trabajables, regala puntos adicionalesCons: Mucho trabajo, no es clara, no explica bien, muchas diapositivas, es demorada para calificar","3.5"
"1576036652-1127","https://losestudiantes.co/","Luis Eduardo Castillo MendezEstadística","https://losestudiantes.co/universidad-nacional/estadistica/profesores/luis-eduardo-castillo-mendez","Es un profesor excelente, sus clases son sencillas y hace ejercicios que aclaran bastante los temas, sus parciales son para sacarse 5 y además brinda material extra para estudio autónomo. Pros: Parciales sencillos
Temas claros
Cons: Ninguno","5"
"1576036624-1119","https://losestudiantes.co/","Leonardo Trujillo OyolaEstadística","https://losestudiantes.co/universidad-nacional/estadistica/profesores/leonardo-trujillo-oyola","Leonardo es un experto en sus temas, pero lamentablemente en el curso de Encuestas mostró una metodología que lo deja perdido a uno con facilidad y si uno no esta pendiente de las exposiciones no logra aprender mucho. Cuando el dicta probabilidad, es directo y prefiere rebajar la exigencia del curso para los muchachos de industrial. Es alguien a quien se debe acudir para desarrollar trabajos de grado que requieran sustento en muestreo. Pros: - No es difícil obtener una nota alta con él.
- Sabe mucho de la temática del curso.
-  Da la libertad a los estudiantes de desarrollar el curso como ellos consideren mejorCons: - La metodología es confusa y uno se pierde. Esta misma es la manejada en seminario/posgrado y es raro adaptarse a ella","4"
"1576036652-1132","https://losestudiantes.co/","Luis Eduardo Castillo MendezEstadística","https://losestudiantes.co/universidad-nacional/estadistica/profesores/luis-eduardo-castillo-mendez","Es un buen docente, explica lo justo, por falta de tiempo se saltó algunos temas, sus parciales son faciles, y la materia se puede dejar muy alta, incluso sin depender del parcial final conjunto. Es amable y está dispuesto a responder cualquier duda. Sus clases empiezan tarde, usualmente media hora después y acaban antes. Pros: Parciales fáciles, califica suave, buen dominio del tema. Cons: Por tiempo salta temas.","3.9"
"1576036652-1133","https://losestudiantes.co/","Luis Eduardo Castillo MendezEstadística","https://losestudiantes.co/universidad-nacional/estadistica/profesores/luis-eduardo-castillo-mendez","mal profesor no se aprende nada Pros: facilCons: no se aprende nada","1.5"
