web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576099042-9","https://losestudiantes.co/","German Alexander Gamba TriminoSociología","https://losestudiantes.co/universidad-nacional/sociologia/profesores/german-alexander-gamba-trimino","Excelente manejo y metodología.","5"
"1576099014-5","https://losestudiantes.co/","Normando Jose Suarez FernandezSociología","https://losestudiantes.co/universidad-nacional/sociologia/profesores/normando-jose-suarez-fernandez","Aunque sabe mucho sobre el tema me parece que realmente su pedagogía no es la adecuada para mi forma de aprendizaje. Da mucha información sin mucha concatenación, repite temas, y se pierde mucho. La horas de clase fueron medio aburridas. Eso sí, aprendí mucho del tema, ""planeación en Colombia"", y no creo que actualmente otro profesor sepa tanto como él en este ámbito. Pide mucho trabajo que dudo que lo revise, ya que nunca da una retroalimentación.Pros: - Es un conocedor muy basto en la materiaCons: - No realiza retroalimentaciones
- No tiene una gran pedagogía en las clases","3"
"1576098959-3","https://losestudiantes.co/","Edgar Augusto Valero JulioSociología","https://losestudiantes.co/universidad-nacional/sociologia/profesores/edgar-augusto-valero-julio","No es malo, pero tampoco es bueno.","3"
"1576099021-8","https://losestudiantes.co/","Javier Saenz ObregonSociología","https://losestudiantes.co/universidad-nacional/sociologia/profesores/javier-saenz-obregon","Un profesor con una metodología distinta. Hay un cambio en el estudiante y en la manera de concebir la academia. Si usted es un estudiante rígido y cuadriculado Saenz no es para usted.Pros: Tiene un muy buen dominio del tema y una basta experiencia como profesor. Un gran academico.","4.5"
"1576099014-7","https://losestudiantes.co/","Normando Jose Suarez FernandezSociología","https://losestudiantes.co/universidad-nacional/sociologia/profesores/normando-jose-suarez-fernandez","Yo lo llamo el rey del «aprende por saturación». Te plantea un temario y empieza a votar información que después debes consignar en un gran trabajo final, el cual, obtendrá una nota según la correspondencia con el índice planteado y la cantidad de páginas.Pros: Aprendes.
Se come al programa.Cons: Trabajas más de la cuenta.
No logras profundizar en el tema.","1"
"1576098974-4","https://losestudiantes.co/","William Mauricio Beltran CelySociología","https://losestudiantes.co/universidad-nacional/sociologia/profesores/william-mauricio-beltran-cely","Pros: Tiene un gran dominio en los temas que aborda. Es cumplido y ordenado con su clase. ES respetuoso con los estudiantes.","4.7"
"1576099014-6","https://losestudiantes.co/","Normando Jose Suarez FernandezSociología","https://losestudiantes.co/universidad-nacional/sociologia/profesores/normando-jose-suarez-fernandez","Es un buen profesor tiene un gran dominio sobre el tema.Pros: Es ordenado, y conoce bien el tema.Cons: No explica bien.","3.5"
