web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576097587-21","https://losestudiantes.co/","Jimmy Fernandez LamusGeociencias","https://losestudiantes.co/universidad-nacional/geociencias/profesores/jimmy-fernandez-lamus","El profesor es muy gentil y se empeña en que uno aprenda, por eso hace laboratorios extra para poder abarcar mejor todos los temas del curso, y los parciales no son difíciles (aunque son más de suerte).
Pros: Sabe mucho y responde a cualquier pregunta por simple que sea.
Si se estudia y se tiene suerte en los parciales prácticos la materia se puede dejar muy alta.Cons: La materia demanda mucho tiempo presencial.","5"
"1576097587-19","https://losestudiantes.co/","Jimmy Fernandez LamusGeociencias","https://losestudiantes.co/universidad-nacional/geociencias/profesores/jimmy-fernandez-lamus","Excelente profesor de mineralogía óptica, explica genial. Lo único aburrido son las clases teóricas, pero eso se da más por el tema en sí y el salón oscuro donde la dictan. Las prácticas son genialesPros: Buena explicación
Puntual
Buena disposiciónCons: La voz es un poco arrulladora","5"
"1576097558-11","https://losestudiantes.co/","Juan Manuel Moreno MurilloGeociencias","https://losestudiantes.co/universidad-nacional/geociencias/profesores/juan-manuel-moreno-murillo","Es extremadamente humillante y es imposible saber si se va a pasar o no. Nunca da notas, mejor dicho coloca a voluntad. Lástima que esta clase sea obligatoria con él.Pros: SabeCons: Nunca da explicaciones claras de porqué tiene la nota que sacó.","1.6"
"1576097673-39","https://losestudiantes.co/","Guillermo Arturo Camargo CortesGeociencias","https://losestudiantes.co/universidad-nacional/geociencias/profesores/guillermo-arturo-camargo-cortes","Profesor de Geología Estructural. Pros: Sabe bastante de Geología Estructural y Tectónica. Cons: Impuntual a morir. En clases de cuatro horas, llegaba a las tres horas a pasar asistencia, sin avisar de su retardo. No se le puede reclamar nada. No entrega las notas a tiempo. Los parciales pueden llegar a ser duros por ser tan puntuales, además que sólo da 30 min para ellos.","2"
"1576097767-68","https://losestudiantes.co/","Carlos Alberto Vargas JimenezGeociencias","https://losestudiantes.co/universidad-nacional/geociencias/profesores/carlos-alberto-vargas-jimenez","Parece que le asignaron el curso a última hora ya que las clases y el curso en general fue muy improvisado y desordenado. Pero los parciales fueron muy trabajables. Quizá el profesor sea mejor en las materias que en realidad dicta ya que probablemente nunca había dictado esta materia antes.","3"
"1576097760-65","https://losestudiantes.co/","John Jairo Sanchez AguilarGeociencias","https://losestudiantes.co/universidad-nacional/geociencias/profesores/john-jairo-sanchez-aguilar","Es un excelente profesor y así mismo es exigente son los estudiantes. Poseedor de un amplio conocimiento en su área,  es claro con los temas y proporciona ejemplos que facilitan el entendimiento de la clase.","5"
"1576097551-4","https://losestudiantes.co/","Ana Elena Concha PerdomoGeociencias","https://losestudiantes.co/universidad-nacional/geociencias/profesores/ana-elena-concha-perdomo","La estructura de la clase es clave, cátedras muy bien organizadas. Y en un departamento donde el factor denominador es lo contrario es valioso un docente de estas características. Se le nota el compromiso como docente e investigadora. Cuidado con molestar o no prestar atención en clase, ademas de perderse la explicación la profe lo puede coger entre ojos. Pros: Se toma el tiempo y la dedicación de dejar los temas claros en laboratorio. Cons: La clase teórica se pasa volando, debería volver haber petrologia ígnea.","4.5"
"1576097760-62","https://losestudiantes.co/","John Jairo Sanchez AguilarGeociencias","https://losestudiantes.co/universidad-nacional/geociencias/profesores/john-jairo-sanchez-aguilar","Buen profesor, exige bastante, pero es imparcial con las notas. No hay que dejarse coger entre ojos. Pros: Se le entiende todo.Cons: Exigente. Podría mejorar trato a sus estudiantes en algunas ocasiones.","4"
"1576097594-22","https://losestudiantes.co/","Carlos Alberto Sanchez QuinonezGeociencias","https://losestudiantes.co/universidad-nacional/geociencias/profesores/carlos-alberto-sanchez-quinonez","Profesor de Sedimentología. Simplemente, una gran asignatura, dictada por un gran geólogo. De lejos, el mejor profesor del departamento. Pros: -Excelente docente, con gran conocimiento y experiencia en Geología Sedimentaria.
-Siempre vela por el bienestar de sus estudiantes. 
-Muy amable. 
-Contextualiza mucho los temas y su importancia en lugares de Colombia y del mundo.Cons: -Las clases teóricas se tornan un poco pesadas y monótonas por la metodología del docente.
-Muy muy puntual. 
-Los parciales requieren bastante lectura previa. 
-Requiere buen tiempo adicional. para leer todo el material del curso y hacer los informes de laboratorio y núcleos.","5"
"1576097637-32","https://losestudiantes.co/","Jaime Orlando MartinezGeociencias","https://losestudiantes.co/universidad-nacional/geociencias/profesores/jaime-orlando-martinez-martinez","Buen profesor, se hace entender muy bien. Es muy comprometido con el aprendizaje de sus estudiantes. La materia es abordada desde la teoría (clases magistrales, exposiciones) y la práctica (fotos aéreas), por lo tanto, su contenido es muy completo.","4.5"
"1576097551-5","https://losestudiantes.co/","Ana Elena Concha PerdomoGeociencias","https://losestudiantes.co/universidad-nacional/geociencias/profesores/ana-elena-concha-perdomo","La profesora sabe mucho de rocas ígneas y aunque hace mucho énfasis en las secciones delgadas, es importante dedicarle tiempo a las muestras de mano. En los parciales prácticos hay que ser muy minucioso y decir todo lo que uno vea, y también cualquier nota es posible (puedes sacarte desde un 5 hasta un 0,5 en un parcial, así que cuidado) y la dificultad de estos es pura suerte (como en las mineralogías).Pros: Siempre resuelve dudas (así sea de mala gana).
No es rajona.
Los parciales teóricos no son duros (pero hay que estudiar).
Es puntual con las notas.Cons: A veces se va y deja a cargo al monitor, que de igual manera sabe bastante.","4"
"1576097673-41","https://losestudiantes.co/","Guillermo Arturo Camargo CortesGeociencias","https://losestudiantes.co/universidad-nacional/geociencias/profesores/guillermo-arturo-camargo-cortes","Muy perezoso, aunque se nota que sabe bastante, intenta influenciar a sus estudiantes para que aprendan por su cuenta pero con su actitud no logra mucho. Califica duro aunque al final ayuda. Pros: Sabe bastante del tema. Cons: Pereza por dar clases. 
Asignatura sin orden. 
Se deja colgar con las fechas y no entrega a tiempo las notas.","4"
"1576097558-7","https://losestudiantes.co/","Juan Manuel Moreno MurilloGeociencias","https://losestudiantes.co/universidad-nacional/geociencias/profesores/juan-manuel-moreno-murillo","El profesor tiene mucha experiencia en campo, se aprende bastante.Pros: Este curso se lo toma con más seriedad que el de geomorfología.Cons: Con él las notas son una total incertidumbre.","3"
"1576097709-47","https://losestudiantes.co/","Gustavo Adolfo Sarmiento PerezGeociencias","https://losestudiantes.co/universidad-nacional/geociencias/profesores/gustavo-adolfo-sarmiento-perez","Profesor de campo IV. Muy buen profesor, con amplio conocimiento en geología sedimentaria. Pros: -Explica muy bien
-Muy práctico
-Pone muy buenos ejemplos
-Preocupado por el bienestar de los estudiantes
-Organizado y puntualCons: -Algo ""mico"" en campo","4.5"
