nota,[3.62235562]
3,[-13.67659456]
4,[6.67802794]
5,[14.06239249]
5,[34.622336]
4.9,[10.01319297]
4.7,[27.58643051]
4.8,[13.73241507]
4.2,[7.77316639]
1.5,[3.27406205]
5,[40.30456991]
1,[7.02082217]
5,[42.93936948]
3.4,[-0.81222525]
5,[2.8920824]
1,[-6.74912839]
4.5,[21.05050405]
5,[22.76829804]
5,[13.98098694]
4.6,[8.5399293]
4.3,[25.50034194]
4,[5.2024605]
3.4,[-14.88663347]
4.5,[28.88888424]
5,[29.19641636]
4.3,[13.54309575]
4.6,[25.50221252]
5,[27.10386122]
4.5,[28.42441903]
5,[14.31914529]
1.6,[1.76002651]
4.3,[16.27378383]
4.5,[10.51946668]
2.8,[-1.31325079]
5,[21.58398295]
2,[-2.43210541]
4.7,[23.3873809]
2,[-2.65616671]
4.5,[32.62477768]
4.5,[26.9123464]
1.5,[-6.65813787]
4.9,[21.41596677]
4,[16.60689848]
4,[11.97837676]
2.1,[0.75427347]
3,[13.80231012]
3,[11.10818405]
2.1,[-9.20150588]
5,[5.80503701]
1.5,[4.76773665]
5,[14.93657169]
5,[14.13812772]
4.9,[12.09622568]
5,[44.26163407]
4.4,[13.02130024]
3.8,[3.60834459]
3,[-6.10142195]
1,[-7.95565143]
4.5,[21.08007256]
4.7,[46.10831987]
3,[17.13914573]
3.2,[2.07228956]
4.4,[7.21275018]
5,[24.50218095]
4.6,[7.9110065]
2.7,[-2.429206]
1,[-19.61215013]
4.8,[36.15272111]
5,[5.79792081]
5,[25.76515177]
3.4,[22.90137558]
4.5,[7.30135044]
1.5,[-22.45303331]
3,[4.8962442]
5,[8.66140598]
1.5,[2.79253078]
3.9,[13.88136486]
4.5,[8.04781736]
4.5,[20.43285435]
4.7,[15.80391344]
5,[15.68770476]
4.5,[23.59641112]
5,[18.66846335]
3.5,[-1.92469003]
5,[28.1386961]
4.5,[24.34128099]
3.8,[17.7428115]
2,[5.35090592]
3.3,[6.3170657]
3.8,[8.48166159]
3.5,[19.58624917]
