nota,[3.62235562]
4,[21.75557634]
5,[20.74369423]
3.5,[6.30349929]
5,[9.51179933]
2.8,[4.25914587]
4.8,[21.82817043]
4,[28.327617]
3.5,[21.17546182]
4,[3.42088523]
4.5,[26.81228897]
5,[23.59998658]
2.2,[6.56075225]
5,[3.78978318]
5,[23.99816533]
4.3,[8.8707429]
4.5,[28.6942208]
5,[28.00806936]
4.7,[17.73972795]
5,[23.30084534]
1.5,[3.24486319]
1.5,[2.39460632]
2,[-7.54247058]
4.1,[12.26216188]
4,[25.00622007]
5,[30.27901307]
4,[22.94795968]
3.5,[3.3057645]
3.6,[4.3347716]
4.5,[33.35281118]
3.6,[7.23584507]
4,[-0.96950166]
4.3,[13.12839692]
4.3,[25.66768694]
3.5,[9.42907532]
3,[-1.40924902]
3,[-12.09668054]
1,[-1.96795114]
3.3,[20.64947696]
5,[24.51082255]
1.5,[-0.54708805]
4,[20.14071279]
3,[7.61283621]
1.5,[17.83077006]
5,[13.85092667]
4.4,[20.68904489]
4.5,[26.92358995]
5,[20.76529383]
3.5,[25.45132661]
4,[4.57666986]
3.8,[-8.0296586]
4.6,[7.59842192]
3,[-9.94214863]
3.4,[15.83766237]
5,[18.31960487]
4,[16.57965937]
4.1,[24.25497836]
4.5,[17.77064452]
4,[-2.92901454]
4.6,[3.70727839]
5,[6.87627514]
1.7,[1.16189232]
3.5,[1.38985502]
2.5,[8.21490179]
2,[-3.88281583]
4,[20.94794583]
4.3,[42.34914412]
5,[18.65797102]
5,[35.32958656]
4,[-3.43651046]
4.4,[11.45834264]
3.5,[42.80577617]
4,[20.40567597]
4,[13.02436419]
3,[9.58505169]
4.5,[28.18098477]
4.2,[11.10854931]
5,[34.11779923]
4.1,[20.89717798]
1.5,[-13.05456051]
3.7,[18.42285444]
2,[21.6618741]
1.5,[-2.37614639]
3.8,[35.34168195]
5,[28.73726351]
1.5,[-6.29504446]
4,[21.59746653]
3.7,[16.37368882]
2.5,[-5.53658544]
3,[39.42738307]
4.5,[10.2611423]
4.5,[30.1375062]
4,[14.91937306]
4.8,[16.09509948]
4.8,[6.93002841]
2.5,[0.66111902]
4,[16.4142472]
4.7,[16.73076696]
3.5,[23.51808569]
4,[33.0327755]
4,[14.701125]
4,[6.321634]
3.5,[11.46976457]
2,[-7.04958122]
4,[14.68724626]
4.5,[26.96316655]
4.5,[33.93897057]
3.5,[13.1910369]
4.9,[14.90986709]
1.5,[-14.81009842]
2,[15.12180562]
3.8,[19.62250194]
5,[18.67691842]
1.5,[-5.77574173]
1.5,[-8.34826837]
1.5,[-5.00377696]
2,[4.73315385]
5,[22.34922614]
3.8,[15.14855739]
4.7,[21.98848108]
1,[-2.86509021]
1.5,[-5.01395409]
4.5,[27.09194139]
4,[11.08759282]
3,[-6.63043711]
3,[-10.01978022]
4.5,[29.60439312]
3.5,[56.49107872]
4.5,[19.51102055]
5,[16.01364571]
5,[21.18335056]
5,[29.7384444]
5,[24.30081592]
4,[22.12446325]
4,[25.65213329]
4.5,[32.27385403]
4.4,[13.68217421]
5,[31.7384577]
4.8,[30.96681625]
4,[2.73263464]
1.5,[3.65240128]
4.5,[65.31522906]
5,[16.71599427]
1.5,[2.06776769]
5,[12.73957223]
5,[36.07523007]
3,[11.9539639]
4.3,[3.52008974]
4,[8.31883161]
1,[2.16937798]
3,[21.52311745]
3,[-5.55986057]
5,[47.51949114]
4.4,[14.42530146]
3.5,[18.71479512]
4.5,[2.82337184]
4.5,[22.81354686]
3.5,[18.34235544]
5,[15.75970591]
4,[17.00498925]
2.4,[-4.5963185]
4,[14.25899252]
2,[5.96594659]
4.4,[14.51222289]
4.6,[35.19904264]
3,[24.04955825]
4.3,[46.06515068]
1,[11.47970708]
3,[3.33245088]
3.5,[17.23117769]
2,[6.38129507]
4,[11.43691711]
4.4,[25.38972091]
1.5,[-17.05063279]
5,[2.4590595]
2.5,[-1.89579657]
1.7,[-0.7937703]
4.8,[22.60470042]
2,[1.31819388]
5,[16.9877629]
4,[6.71538771]
2.9,[2.78592814]
3.9,[-2.63398957]
3.5,[-11.13318978]
3.8,[6.40701926]
5,[19.00456542]
4.2,[16.04152637]
4.2,[11.40744821]
4,[-2.75895734]
1,[-13.14455034]
1.5,[-8.24267586]
5,[45.03467564]
3.2,[1.46040835]
4,[23.59081644]
4.6,[11.67894757]
3.4,[17.48833364]
4.5,[19.9843399]
