nota,[3.62235562]
4,[11.40144281]
4,[19.71380392]
4.3,[37.07623098]
3,[4.22104364]
5,[18.67637137]
4.5,[24.32701604]
3.8,[11.46163363]
5,[16.71704896]
2.1,[-3.55021032]
4,[24.53349757]
3.3,[16.54391624]
1.5,[7.65288555]
5,[34.3597186]
3.5,[11.87249128]
5,[28.50287016]
1.5,[7.49560979]
5,[18.18873432]
5,[28.16510104]
4,[19.97394589]
3.6,[21.43979702]
4.2,[11.67192789]
1.5,[-2.16167324]
3,[19.75746859]
2,[-16.22604453]
1.5,[2.80799607]
4.7,[11.87326722]
2.2,[-1.20927681]
4,[3.90438564]
3.9,[7.82307536]
4.2,[25.16039679]
2,[-0.59211128]
3,[16.39880719]
3.5,[9.53043223]
3,[1.59340654]
3,[18.49485457]
5,[16.05519356]
2.4,[-15.47837152]
4.6,[18.4202754]
1.5,[9.80785775]
2,[-12.07796297]
5,[36.25480587]
1.5,[-9.64170924]
4,[31.44191272]
4.5,[17.22850794]
4.4,[21.37965498]
5,[27.28339939]
2,[8.52255385]
5,[40.9755214]
2,[12.43065992]
3,[8.97847897]
2.8,[-0.58129047]
5,[30.05358104]
4,[17.5376053]
2,[-2.82937724]
4,[22.06829816]
1.5,[-2.03187153]
4.8,[8.0395496]
5,[24.07710829]
4.5,[8.46565808]
3.5,[6.95567789]
2.1,[-5.57391589]
3.5,[16.03943621]
2,[4.6195677]
5,[30.95752343]
5,[34.89895541]
5,[9.45260931]
4.8,[8.70369421]
5,[25.50299368]
4.5,[10.34328011]
3.5,[9.7132229]
5,[18.12803056]
4,[16.00100162]
3.4,[9.3958885]
