nota,[3.62235562]
4.7,[51.13236228]
4.6,[8.30475143]
3.5,[1.98184379]
4.9,[15.90956429]
4,[27.01891328]
2,[-12.10327387]
4.5,[26.58677968]
3,[12.97935346]
3,[-1.97862373]
4.5,[24.31389452]
4.5,[18.74267848]
5,[38.84669408]
5,[25.02075698]
5,[27.39971579]
4.5,[6.48739269]
5,[13.14800785]
2.2,[-5.95705236]
4,[40.09256755]
4,[32.34195222]
4.9,[18.04906439]
4.1,[28.34065026]
5,[22.52199428]
4.5,[7.19791557]
3.5,[7.03916064]
4,[21.50801933]
4.5,[14.81822003]
3,[6.98315674]
4.8,[36.27370166]
3,[22.63910868]
4.9,[46.80057566]
4,[57.38873639]
4,[13.2665595]
4,[7.28290595]
5,[19.47095501]
4.4,[19.9216477]
3.5,[12.46929057]
4.8,[19.05382389]
3,[9.59765115]
3.9,[3.23208946]
3.5,[8.50769976]
4,[12.20844304]
5,[12.35473058]
5,[34.70665361]
5,[17.56455312]
4.3,[27.03951749]
4,[13.97945237]
2,[1.42059407]
4.5,[33.012066]
4,[17.49271429]
4,[23.01337797]
4,[54.96499209]
3.6,[8.15792575]
4.5,[31.75443615]
4.5,[21.46210068]
5,[15.89357406]
3.5,[18.66848347]
4,[23.88433862]
4.6,[20.27434428]
4.5,[-3.12443763]
1,[15.60793694]
4.5,[20.96584669]
4.1,[30.15918145]
4,[6.92554068]
3,[27.32205469]
3.5,[3.36022861]
2,[-21.61543679]
4.1,[13.94955596]
3,[16.92121083]
4.1,[8.27982193]
3,[7.0453764]
5,[31.08760581]
4,[-1.21732862]
5,[9.2715]
4,[17.49802303]
3,[2.24134103]
2.9,[-1.15862775]
5,[24.18834186]
5,[24.4730635]
5,[24.25466005]
5,[45.3245588]
2,[-4.1895483]
4.9,[25.23519381]
4,[4.25296697]
4,[17.94652444]
1.5,[-1.82346413]
3,[20.52808703]
4,[6.74022188]
5,[15.52305083]
3.5,[18.93846478]
3.9,[-0.64969879]
4.5,[14.82088254]
4,[16.82746083]
3.1,[-2.56260267]
