nota,[3.62235562]
2,[20.88037845]
4.5,[27.06775224]
4,[18.03735068]
4,[37.55523362]
4.8,[19.2673068]
4.4,[28.64535241]
5,[8.81804833]
4.5,[21.02502761]
4.5,[13.24876046]
4,[20.60145811]
1.5,[-29.90725158]
3.5,[16.93268586]
5,[22.61291906]
4.5,[40.64470038]
4.5,[17.35582287]
5,[30.81918278]
5,[27.67304335]
5,[31.93283847]
4.8,[15.11463289]
4.5,[20.22010704]
5,[18.18966266]
4,[19.75299322]
5,[12.62250394]
4.5,[28.50679508]
5,[37.25305134]
4,[11.78526759]
4.3,[22.23977093]
4.1,[-6.50958092]
4.5,[10.00639789]
3,[-13.06638916]
5,[88.52662136]
4.5,[4.36087781]
4.5,[16.81200195]
4.5,[17.5957685]
4,[15.98916129]
4.3,[12.47782105]
3.4,[36.48629196]
4.6,[24.06330614]
3.5,[17.8024403]
4.8,[22.17663723]
2,[5.61513484]
3.5,[11.69508419]
5,[59.88656628]
4.8,[9.13654285]
4.4,[15.03746527]
1.5,[-1.54167098]
4,[18.74580679]
5,[12.70775489]
3.8,[21.53870834]
4,[13.83872757]
1.9,[3.1202636]
1.6,[-4.0578359]
5,[19.8432321]
3,[6.66587037]
3.1,[-4.47961088]
2.5,[5.99544987]
4,[2.02131108]
5,[22.74086078]
1.5,[10.64046683]
3.9,[6.94475927]
5,[20.360294]
4.6,[31.78780876]
5,[34.32485383]
4.1,[18.30549858]
4.5,[19.35473257]
1.8,[-7.0884561]
5,[28.41733929]
4.5,[18.68691693]
5,[20.63605132]
5,[12.66651226]
3.5,[9.41348258]
4,[13.13834355]
1.5,[0.69277818]
3,[11.17324031]
4.9,[20.68942829]
4.6,[26.87887794]
5,[28.29774077]
4,[4.14432344]
4.3,[20.44266998]
4,[26.70043347]
5,[26.44861019]
1.5,[-19.28102934]
1.5,[4.25118491]
4,[6.10879487]
3.5,[13.24249852]
5,[28.37921335]
2.5,[-10.17464539]
4.2,[38.16498667]
5,[36.95986603]
1,[-2.21531221]
1.5,[-27.83981471]
4.5,[24.5850023]
5,[20.04254693]
5,[20.29572192]
4,[2.57938827]
4,[1.88118244]
3.5,[10.34815465]
5,[38.45221916]
5,[5.25034021]
4,[17.01692316]
5,[19.15889495]
4.5,[28.42098708]
2.4,[11.30268167]
5,[7.95908273]
1.9,[4.14628769]
4,[19.94028165]
5,[20.11388344]
4.5,[3.293944]
4,[21.44399971]
5,[12.77962522]
4,[18.84854586]
4.4,[13.2732653]
5,[13.81965651]
1.5,[7.23110949]
3,[7.36303538]
5,[2.62821315]
3.2,[15.21645755]
5,[9.8659768]
5,[36.62418057]
4.5,[-4.1189393]
3,[9.68475881]
5,[39.35404879]
4.4,[7.5503501]
3.5,[8.56782453]
5,[17.56277209]
3.5,[11.15849121]
3.8,[10.23454176]
3,[9.248343]
5,[9.65505169]
5,[25.49705311]
3.5,[-3.69939187]
3,[6.88803387]
2.5,[20.17584217]
5,[21.63542603]
4.7,[27.05636939]
3.5,[8.19802559]
5,[27.02085736]
2.5,[6.51166212]
5,[19.76203636]
2,[8.59409361]
3.5,[-5.4591293]
2,[-0.12198127]
5,[25.65345902]
2,[11.02429676]
2,[-0.64770613]
4.6,[18.59298763]
5,[34.03444575]
4.7,[-1.87249799]
1.5,[7.46205994]
1,[-0.85372084]
5,[37.62349873]
4,[18.62233829]
4,[17.29615621]
4.5,[11.00677481]
4.5,[11.32041808]
4.6,[20.15346718]
5,[30.562238]
5,[18.27482986]
5,[44.91045966]
4.6,[18.43837232]
3.7,[0.12032971]
4.6,[14.64686266]
3,[4.7350941]
5,[36.83893245]
3.5,[-1.79244358]
3,[-19.41621759]
4,[5.13062359]
5,[13.3344875]
2.7,[7.49098136]
5,[22.8766763]
4.5,[20.37820275]
5,[41.90382716]
4,[22.6687762]
5,[19.24507964]
2.5,[-11.68271447]
4.5,[25.56017662]
4,[0.33443351]
1.5,[-8.96441002]
1.5,[-22.2469518]
5,[10.07821029]
4,[1.93115654]
2.8,[2.10792226]
5,[27.93221253]
5,[15.97330735]
4,[21.07373244]
5,[30.76010703]
3,[-10.25343166]
1.5,[-8.37765263]
5,[12.89613667]
3.9,[17.30825555]
4.5,[13.41792802]
4.5,[19.85403181]
4.5,[18.55383605]
4.8,[27.77226063]
4.7,[17.173145]
2,[-3.69898058]
1.6,[9.09349595]
5,[30.58399723]
1.5,[-20.9793664]
4.5,[22.53100425]
3.9,[5.73928082]
5,[24.38233817]
5,[29.32466137]
4.5,[14.46149929]
1.5,[-9.36111608]
5,[9.75924532]
5,[18.31150382]
4.6,[31.45624405]
1.5,[18.84636005]
5,[29.99824342]
5,[33.33665863]
5,[28.87783908]
4,[10.617185]
2,[2.26553253]
3.5,[13.19139988]
2,[-29.58846314]
5,[26.93186223]
5,[16.8305214]
4.7,[33.26364558]
5,[24.74588604]
4.5,[32.70587948]
4.4,[25.14864123]
4.6,[25.86982886]
3,[10.64468117]
2,[-7.57927883]
5,[33.04599486]
4.7,[29.71010682]
1.5,[-36.02325496]
4.4,[36.60591702]
4.5,[28.13533641]
5,[33.2600107]
4,[-3.62698954]
4.5,[-10.12114551]
1.8,[-4.93164135]
1.5,[2.70904843]
1.5,[3.10054681]
3,[15.27980439]
5,[17.76965456]
4,[12.9281304]
4.3,[17.74967853]
1.5,[-3.25178848]
3.3,[15.92397806]
2,[15.86901549]
3.6,[15.50800679]
4,[14.13897796]
5,[10.87796879]
5,[30.5740863]
5,[31.97407211]
4.3,[24.83206887]
4,[11.03045497]
3,[15.9603702]
3.9,[8.24367393]
1.5,[-11.50039504]
