nota,[3.62235562]
5,[22.11111428]
5,[22.75371464]
1.6,[-4.13321632]
2,[8.46643352]
3,[2.5073472]
5,[20.85800796]
4.5,[14.92348693]
4,[17.80076625]
5,[44.58157166]
4.5,[21.49169772]
4,[24.16730823]
4,[7.2229227]
3,[12.37025496]
4.5,[27.82003538]
5,[29.10576744]
1,[-3.39792931]
5,[5.36219182]
5,[37.45065179]
4.5,[7.19870185]
5,[31.91103021]
4,[25.30376516]
2,[-1.7537099]
3,[-5.61194572]
5,[18.44018433]
3.5,[7.04284257]
4,[33.5056081]
2,[8.52163039]
4,[14.61660137]
5,[15.12603249]
3,[9.80747186]
4,[2.55938168]
5,[6.88291604]
3,[23.97096599]
3,[15.08912074]
2.7,[16.18998382]
5,[4.97979159]
4.5,[13.35397617]
5,[41.96669158]
4,[16.43939332]
1.9,[0.13352654]
4.7,[45.47710515]
2,[-8.74530546]
4,[10.22181437]
4,[22.83694791]
3.8,[3.07179176]
4,[23.22799484]
5,[25.55485368]
4.5,[31.93584496]
2,[5.19970503]
2.8,[4.63244165]
4,[23.26789035]
3.5,[23.79655426]
5,[39.10826141]
5,[20.11102897]
5,[16.60353096]
4.4,[18.48751415]
3,[-1.18187077]
5,[19.50727242]
4.5,[12.63521256]
4,[20.42160803]
4.3,[12.72397012]
5,[13.83181874]
1.5,[-33.61610091]
3.5,[10.4438043]
3,[7.38558627]
2.3,[11.9941732]
2,[-18.27739652]
3.5,[10.80742438]
5,[-0.64077787]
