nota,[3.62235562]
4,[19.23045295]
5,[6.10318358]
4,[11.65633516]
5,[28.74374275]
5,[7.87266499]
3.7,[14.4524116]
3.6,[17.95652312]
3.6,[-3.61900926]
4,[19.78533098]
2.8,[9.2987905]
4.6,[25.73337684]
5,[16.23074265]
4,[14.24514007]
4,[21.94772889]
5,[17.37830178]
4,[21.14007079]
2.8,[-7.25894855]
3,[3.10514141]
1.5,[2.62326239]
3,[3.31446862]
5,[39.90480087]
4,[22.77741707]
4,[-3.41158854]
5,[21.21649504]
5,[14.8124794]
4.5,[1.71008344]
4.3,[14.87757013]
5,[1.4454934]
4.9,[15.68381306]
4,[3.04248874]
5,[3.22705177]
4,[8.10937103]
4,[3.04248874]
3,[3.11089394]
4.3,[17.7639059]
