nota,[3.62235562]
3.2,[-25.36872061]
2.4,[3.95768175]
5,[15.16680736]
4.6,[20.17559803]
3.2,[-3.74822852]
5,[9.36912616]
3.5,[42.55103272]
3.4,[9.99303872]
5,[38.08809336]
2.8,[-5.39314688]
5,[18.95553907]
4.6,[16.98080316]
5,[33.55071461]
2,[0.5814353]
4.7,[0.80189246]
4.4,[0.30826385]
4.8,[8.9301611]
5,[29.34960469]
1,[-6.47056769]
5,[14.88049159]
2.5,[-19.54049623]
3.7,[4.85024719]
4,[22.24036892]
3,[3.57776865]
5,[6.28487583]
3.8,[10.38055446]
4,[12.02920959]
4.5,[22.23124919]
5,[36.322761]
5,[34.75085197]
5,[9.80029485]
4.8,[24.0956636]
5,[19.64687704]
5,[28.280597]
5,[25.49730578]
4.2,[21.40129999]
5,[19.13649944]
4.8,[13.60454059]
1.5,[-6.43136368]
