nota,[3.62235562]
4.6,[9.45403904]
4.2,[26.95273131]
5,[13.11453575]
2,[4.97059215]
3,[-7.08896605]
3.7,[15.19054407]
4,[17.84298158]
3,[7.54701251]
4,[21.17193028]
4.2,[13.36998146]
4,[19.62756033]
5,[1.81524856]
2.5,[-4.90483992]
5,[14.48238644]
4,[11.64840281]
5,[20.59477647]
2.3,[-3.46188858]
5,[40.13550072]
5,[26.59108868]
5,[14.57187855]
4,[14.657536]
1.9,[0.68764595]
4.5,[25.05686665]
1.5,[-2.61154052]
3.5,[-3.58568336]
5,[16.84553571]
2.9,[10.28971384]
2,[-8.2249655]
4.5,[32.23061329]
4.7,[26.38772886]
3.5,[19.62246518]
3.8,[22.16996477]
4.7,[17.28392363]
5,[30.82075036]
4.5,[9.79708897]
4.4,[10.83446955]
4.6,[14.15157236]
1.5,[-3.42935886]
5,[-3.6762426]
3,[-3.55081097]
3,[3.49613895]
2,[-13.47023499]
3.5,[21.65521107]
3,[1.61608099]
5,[23.9057785]
5,[4.5642801]
3.8,[1.14357095]
3.3,[12.5769321]
4.7,[31.32424981]
3,[-13.71881025]
4.6,[21.9880152]
4.7,[25.97571789]
2.5,[3.15066302]
4.5,[28.20000236]
5,[23.45728334]
4.4,[9.23823778]
4,[9.14111848]
4,[22.92750322]
2.5,[1.2223518]
3.5,[-2.73414613]
4,[21.94861552]
3,[13.0898511]
4.1,[28.19781908]
3,[11.24453423]
4.5,[22.9108827]
5,[19.77831052]
4.6,[27.75612279]
5,[24.84374039]
1.5,[6.93892871]
4.5,[14.69833213]
5,[13.77277764]
5,[22.31072634]
5,[42.37429073]
5,[24.00115834]
4.6,[10.83446955]
4.1,[31.35547589]
4,[-0.98115881]
4,[7.07009979]
3,[3.36679727]
3.5,[16.81871933]
5,[45.75233549]
4.4,[9.90039285]
4.5,[13.94571786]
4,[12.09853925]
3,[17.84450735]
2,[7.85349134]
2,[-0.41531033]
5,[25.29564462]
4,[10.92882792]
3,[7.12776679]
5,[24.12924841]
4,[19.77943326]
2,[11.31024952]
4,[32.72282541]
4,[15.59371321]
5,[35.30055274]
5,[36.86391455]
4.9,[19.39346066]
4,[16.57836503]
4.6,[18.43267508]
1.6,[-7.05156864]
4.5,[25.7361628]
4.6,[17.21419978]
4,[1.74614223]
5,[16.72222788]
4.5,[12.95097789]
3,[-5.7200209]
4,[19.39226301]
4,[15.79586656]
3.5,[1.69426914]
4.3,[23.96172264]
1.5,[-7.29232427]
1.5,[-1.63944325]
2,[-6.82091158]
3.2,[27.70739684]
4.5,[23.9681533]
3.5,[9.42103737]
1,[-13.41123185]
3.8,[19.01145253]
2,[-9.01522759]
5,[35.5696264]
2.9,[-13.26302081]
4,[8.76741941]
4,[24.16197085]
4.5,[24.42640203]
3,[10.97098697]
4.5,[27.85520298]
5,[13.60966169]
1,[-16.94913983]
1.5,[-16.64584178]
3,[-11.58308111]
4,[-1.6024856]
5,[12.30889543]
3,[22.13932389]
3.8,[26.10836766]
5,[21.45689967]
3.8,[29.82179694]
5,[33.77005975]
5,[4.86558736]
3.5,[21.53515381]
4,[19.13351541]
4.4,[25.40147207]
5,[57.58395441]
5,[9.51190266]
4.5,[18.88598916]
4.7,[14.63327542]
4.1,[26.61187437]
4.5,[21.11487056]
4.6,[33.74354916]
5,[34.0465162]
5,[17.67096497]
4.5,[20.00389341]
3.5,[21.00498912]
3,[30.63195734]
3.5,[5.88095467]
2.5,[4.94193966]
2.3,[6.83593364]
5,[22.81996838]
2,[-10.60820895]
4,[16.14316783]
3,[4.51598721]
2,[9.98331502]
5,[10.58498286]
2.1,[-9.51831969]
3.6,[29.79360033]
4.5,[7.41372063]
4,[2.66314525]
5,[11.27824762]
1,[-2.16140974]
3.5,[19.19152573]
2,[-19.53892226]
1.9,[-3.6563248]
4.7,[27.66884464]
5,[32.2134582]
5,[16.84305535]
3.5,[5.60850216]
5,[13.81240668]
4.5,[25.69538886]
5,[40.67357628]
4.8,[4.89135981]
5,[9.35834004]
5,[17.00312824]
3,[-5.98013897]
2,[1.6067014]
5,[9.7955941]
5,[22.93605767]
2.4,[7.1182499]
3.5,[12.2913051]
1.8,[-13.4719633]
5,[9.65039531]
3.5,[-2.76004648]
5,[8.35619794]
4.5,[31.20322762]
4.2,[9.67201253]
1,[-4.50051788]
