nota,[3.62235562]
4.5,[20.7607548]
4,[18.7933488]
4.5,[16.85837415]
3.5,[19.63447554]
5,[23.29573092]
4.6,[17.1240752]
5,[5.26999817]
5,[12.50645671]
4.6,[38.76565274]
4.6,[10.60826965]
3.7,[13.79956385]
2.5,[-16.67858999]
3,[2.61551567]
3.8,[22.0313795]
2,[7.04446356]
4,[0.20663564]
3,[11.34942771]
4.7,[34.06539455]
5,[17.26607509]
4.5,[29.90236194]
1.5,[-2.20986887]
2.5,[-1.86060329]
5,[38.22184761]
4,[-3.85866004]
5,[13.28028077]
1.5,[-6.11251076]
1.5,[2.17265058]
5,[30.37518003]
5,[14.10701575]
4,[24.1927708]
2,[11.13563122]
3,[-11.11415582]
5,[6.67656237]
4,[16.24866539]
2.7,[11.79111071]
4.2,[27.24253003]
2.1,[11.69801212]
4.5,[20.1563476]
4.5,[17.03330354]
1.5,[-15.24710101]
5,[1.92068019]
2.1,[8.22748657]
1.5,[-10.77337286]
5,[9.66924367]
4.5,[12.51295998]
5,[17.8218258]
2.3,[18.1095241]
3,[5.73859842]
4,[13.4214449]
4.5,[14.3556047]
2.7,[-2.15672312]
5,[23.80821407]
4.5,[19.97894738]
4.5,[11.26472835]
1.5,[-37.13581221]
5,[10.22316376]
2,[-0.80421745]
3,[1.97292168]
5,[40.00117387]
1.5,[19.41833736]
4,[0.90315431]
4.5,[19.17948412]
2.5,[-11.03872998]
4.5,[9.0735959]
4,[13.68746345]
4.3,[10.87276347]
5,[14.11586284]
5,[28.90206833]
1.5,[-4.34382057]
4,[8.34974312]
1.5,[-16.7115685]
3.4,[11.5350501]
4,[10.72334117]
4.5,[30.64523912]
5,[44.04346453]
3,[16.69973224]
5,[33.73617304]
4.8,[28.41796603]
1.5,[9.83414942]
2.9,[6.05202573]
1.5,[-6.09975797]
1.7,[-6.56705569]
1.5,[-0.57434128]
5,[32.68167787]
1.5,[0.8272923]
5,[17.53847675]
3.5,[14.38513175]
3.2,[21.39191291]
4.7,[16.15016116]
4,[11.89784104]
4,[9.90483101]
3.5,[-1.77224416]
4.7,[44.72715718]
3.5,[-7.62477957]
3.7,[28.43110933]
4,[11.92876414]
4,[13.57954013]
5,[26.22702492]
4,[2.31829007]
2.5,[0.47820867]
2.5,[1.11298337]
4.7,[27.6179763]
2,[10.26615022]
4,[-2.63105019]
3.5,[5.40614533]
4.5,[26.00374174]
4.5,[23.62912979]
2.5,[-1.37701714]
1.5,[-16.81623189]
1,[-17.21569929]
3.3,[13.9011769]
4.1,[11.97191413]
5,[27.18725844]
5,[24.56618041]
4.4,[9.1213397]
4,[2.42760199]
5,[19.22900696]
4.4,[25.19675949]
3,[0.18114918]
1.5,[6.83841423]
4,[5.36659663]
4.3,[2.3005996]
4.9,[32.07027564]
4,[1.52506672]
3.7,[15.15394161]
5,[32.3974807]
3.9,[4.1538002]
4,[22.43464105]
5,[27.52355309]
4,[-6.31491759]
1.5,[3.30505974]
3,[28.46864678]
5,[21.378527]
3.3,[32.18658946]
3.5,[22.68395781]
5,[20.14065591]
2,[0.43409799]
2.5,[-5.88069496]
4.1,[20.99873741]
5,[14.4493184]
4.2,[5.55625109]
1,[-9.63348872]
4,[25.63568443]
4.2,[10.80700592]
4.5,[21.36988457]
4.6,[16.44928436]
2.5,[8.60910234]
3.3,[-5.92436354]
4,[26.41796088]
3,[7.25663395]
5,[6.95481216]
