nota,[3.62235562]
3.8,[16.37065921]
5,[14.96963194]
1.5,[-3.85086866]
5,[6.32613869]
3.8,[15.20211259]
5,[24.33266781]
4.7,[15.16295187]
1.5,[4.16962562]
5,[12.53257823]
2,[-4.7714334]
5,[12.04182773]
1.5,[-4.37831106]
4.8,[37.93687809]
5,[9.75152624]
4.5,[4.58512989]
4,[12.1950292]
4.8,[17.72665256]
4.2,[21.02889549]
4,[9.7851691]
3,[4.44694622]
5,[20.63622276]
5,[25.40572956]
4,[13.62889429]
4.5,[6.77872567]
2,[8.37600929]
1.5,[-0.0635211]
4.6,[11.43744456]
4,[16.76942519]
4.5,[21.26751233]
4,[10.00018119]
5,[12.09564886]
4.5,[36.87129637]
4.4,[5.86542254]
4.4,[19.12885124]
4.5,[22.08519694]
4.6,[17.67474408]
4.5,[29.82730104]
1.5,[-13.73736519]
3.5,[5.34540901]
2,[-11.92523958]
5,[8.90679531]
3.9,[5.26229676]
5,[18.10884057]
3.7,[4.22896371]
5,[22.63346018]
4,[15.46809641]
5,[22.06447418]
3.4,[0.00801322]
5,[28.41979041]
2,[-12.04220136]
3.8,[4.55382384]
3.6,[2.0986584]
4.5,[19.62611414]
5,[10.24782452]
5,[15.91062326]
1.5,[6.84755036]
4.5,[19.48282035]
4.2,[17.57110946]
2.8,[6.22159312]
5,[11.17239629]
3.7,[5.75048564]
5,[22.62028938]
4.4,[16.2107994]
5,[8.33360697]
5,[9.95189453]
5,[10.38492923]
4.6,[11.09185288]
1.5,[-13.50677411]
4.9,[7.05081166]
4.6,[12.81394752]
3.9,[5.68213555]
5,[32.19635567]
3.6,[16.05789975]
4,[14.12295149]
4.5,[18.4319194]
4,[18.41297299]
1.7,[-2.91824044]
4.5,[18.75338569]
3.6,[6.96294437]
5,[10.05558069]
