nota,[3.62235562]
4,[9.22836536]
5,[10.19624163]
1.5,[4.96553152]
1.5,[-5.61438451]
4.5,[14.41491479]
5,[23.72172013]
3.5,[8.13393011]
5,[17.4824654]
4,[11.05191699]
3.9,[19.03392353]
1.5,[2.09705491]
5,[31.71844664]
3.5,[14.29957477]
4,[9.79231946]
4,[12.84126497]
2,[5.47854]
4.5,[17.47645782]
5,[25.68065601]
4,[51.87633999]
1.6,[2.22598328]
5,[3.81971709]
5,[25.5633289]
4.8,[22.96959891]
2.1,[5.02713767]
3.5,[16.28886241]
4.5,[30.19681404]
3.5,[15.94573166]
4.5,[11.32659627]
3.7,[11.61463049]
4,[8.77833595]
3.9,[6.8192956]
2.5,[6.00778873]
4,[4.11560517]
4,[-1.44092276]
5,[42.69060107]
4.5,[13.12159156]
4.3,[7.98075388]
1.7,[-3.90907443]
3.8,[24.44183811]
3,[-18.28734077]
1.5,[-6.16963892]
1.5,[-18.60826551]
5,[31.62059682]
4.4,[1.54500223]
1.7,[-11.81287182]
4.3,[8.9642927]
5,[9.90654981]
2.9,[6.04440477]
5,[19.54331308]
2,[5.33899982]
1.5,[-8.52504476]
4,[13.68472819]
5,[18.42130885]
3,[4.13198203]
4.9,[18.467627]
1.5,[-7.76470181]
4.4,[14.83109504]
4.5,[15.83664316]
1.5,[-9.33180102]
5,[23.89717994]
5,[14.76734312]
5,[38.84980171]
5,[32.05480884]
4,[24.04053848]
4.5,[4.50159169]
4.3,[32.81397098]
4.7,[28.45476586]
5,[14.81838845]
2.4,[31.22691728]
4.5,[10.22002317]
3,[0.30548712]
4.1,[37.66283743]
4,[25.30829439]
1.8,[-6.02636405]
4.4,[22.38511571]
3,[6.85311188]
3.7,[9.87498554]
4,[6.6762229]
4,[34.59515047]
2,[9.2507836]
4.5,[11.37508546]
4.3,[45.20525697]
4,[42.84802303]
1.5,[-2.55841828]
2.7,[-5.42747526]
5,[27.97866167]
5,[41.91949949]
1.5,[17.3537334]
3.8,[1.14758583]
4.7,[32.08544931]
3.7,[12.19367867]
5,[20.84514102]
5,[34.51702566]
5,[14.59505454]
2.9,[0.77723434]
2.9,[3.30139896]
5,[39.87859204]
2,[8.76117176]
4.7,[18.95475854]
5,[14.29032615]
2,[0.50595634]
4,[0.81951435]
4,[19.22677522]
4.9,[32.32264088]
4,[22.10900557]
