nota,[3.62235562]
2.5,[5.60395692]
4,[29.0840468]
5,[22.50638445]
4.8,[55.44042944]
3.5,[15.86128555]
4,[14.58324656]
4.8,[27.1128995]
4,[11.64089293]
4.5,[20.9852634]
4.8,[13.81965651]
4,[12.63676842]
4,[8.94531156]
4.5,[8.27637382]
2.5,[-5.4252469]
4,[11.58553175]
5,[25.05424544]
4.1,[21.89434726]
5,[15.9503871]
3.5,[-6.82501584]
5,[25.23745155]
2,[-4.05347633]
3,[15.83612675]
5,[13.00509323]
5,[22.78974985]
4,[1.16813381]
5,[24.63754824]
1.5,[-23.76576262]
5,[9.30491339]
4.5,[2.79986323]
4.5,[18.03489085]
3.5,[7.47984395]
4,[5.11498599]
2,[-4.7562353]
5,[21.28964889]
1.8,[6.54340811]
4,[21.47559851]
4,[36.65726319]
2.4,[5.45317561]
4.7,[20.37869426]
5,[-1.93195607]
4.8,[17.04178727]
3.5,[6.21809202]
4.2,[50.72985131]
4,[23.88998412]
5,[23.25644449]
4.5,[20.03209975]
4,[7.64728315]
3,[7.98381182]
5,[15.19608647]
4,[8.77182096]
4.5,[1.58340327]
4,[-16.02370283]
2.9,[-0.27402738]
3.5,[17.52035607]
4.5,[11.4991315]
3.6,[10.4071486]
1.5,[-3.55711945]
4,[4.79849054]
3,[-1.6459528]
5,[9.10858841]
5,[32.89126143]
5,[29.13080108]
3,[8.57621737]
5,[15.07931535]
5,[11.3415499]
4,[12.4242012]
5,[11.69886192]
4,[7.25650615]
4.5,[15.1689331]
4,[5.06943235]
4,[10.26462962]
4.8,[9.21702798]
1.7,[4.78136271]
5,[18.86115435]
4.6,[-1.8577635]
4,[18.40428278]
4,[20.36962216]
4.5,[6.07864988]
5,[31.85046558]
4,[16.03785692]
2,[-10.6892852]
4,[12.77925972]
2.9,[-4.76277531]
5,[19.47906474]
4.1,[10.85407628]
5,[11.64527037]
5,[16.5426428]
5,[27.80770321]
1.5,[-17.40563785]
4,[16.23851181]
4.6,[17.45916774]
4.8,[31.26663015]
4.2,[8.73086924]
1.5,[-6.14272729]
4.5,[7.93096983]
3.5,[0.73139234]
5,[17.71381202]
4.7,[15.30597361]
2.4,[-16.31608519]
3,[-6.74202254]
4.2,[12.7624139]
4.8,[26.39909208]
4,[7.27888789]
5,[8.52873227]
4,[14.17177619]
4.5,[15.81059448]
5,[21.05879455]
5,[33.90571366]
4.2,[25.47208825]
4,[20.96078435]
1,[-12.7264585]
1.5,[2.66507559]
3,[4.61621303]
4,[14.9778441]
4,[18.68804473]
4.5,[6.5573622]
3.7,[2.66219897]
4,[3.24435453]
4.1,[25.71683577]
3,[19.87109881]
5,[4.52833812]
3,[0.92725507]
5,[16.2385255]
3.5,[3.54856616]
5,[27.05108914]
5,[33.70614758]
5,[17.83772689]
4.2,[13.70605624]
3.5,[1.87049595]
5,[4.35851664]
4.5,[5.39517235]
5,[43.9107241]
2,[8.50647009]
3.5,[12.89430925]
4.5,[14.46705731]
1.5,[6.10568673]
5,[9.85917369]
5,[10.24121068]
1.5,[-19.29012119]
2,[9.31238931]
2.9,[16.36284108]
4.9,[24.5627355]
4.5,[29.92557387]
1.9,[-14.01283376]
3.5,[12.97408426]
4,[7.93763892]
3.4,[21.82476175]
2,[-0.93367477]
3,[13.24523384]
2.5,[-0.06479871]
3,[-0.89456001]
5,[19.82199943]
3,[9.39509552]
3.8,[15.69044628]
4.5,[14.51805402]
4.7,[16.07913489]
4.9,[21.38752515]
2,[-3.09012339]
4.5,[23.73103907]
