nota,[3.62235562]
1,[-12.38570306]
5,[21.93645181]
2,[-6.31386258]
1.5,[-5.34678565]
5,[34.50900712]
2.1,[-3.81934461]
4.2,[14.54969119]
4.2,[28.68555321]
4.3,[18.29152437]
5,[15.86571883]
4,[28.85576777]
4.4,[13.96916168]
1.8,[-5.75611424]
3.1,[6.95243994]
4,[12.81378564]
3,[3.76411127]
4.6,[29.38064328]
4.4,[23.79180681]
4,[6.28504177]
4.7,[15.32181338]
3,[-1.84873298]
3.4,[1.83421763]
4.5,[6.71904731]
4,[9.16958011]
4.9,[5.93164083]
1.9,[-3.28152796]
4.7,[16.39759869]
4.5,[16.10932662]
5,[21.72496472]
4,[17.60275763]
4.5,[5.05936201]
4.5,[18.17011793]
5,[20.34472031]
3.5,[7.22578211]
3.2,[7.61255093]
4.5,[21.9996842]
5,[13.74129674]
4.5,[7.52599897]
4.5,[14.309513]
4.7,[9.10904226]
5,[22.66490321]
5,[20.69128347]
5,[24.9243345]
3.5,[15.59354798]
5,[2.5642724]
2,[11.71251587]
4.3,[15.8141238]
3.7,[3.76856633]
2.5,[16.21531881]
3,[-10.74278097]
4.5,[16.84641387]
1.5,[2.36372343]
5,[12.30026322]
4,[5.28741088]
4.3,[15.19522573]
1,[-4.26994806]
4,[-1.73159404]
4.9,[13.36401117]
5,[20.31547775]
4.5,[34.70982236]
5,[11.77401317]
4.5,[0.18496254]
5,[20.00183847]
2.9,[6.43627598]
3.7,[4.39160671]
4.4,[7.11376197]
5,[12.9824455]
1,[-1.8525539]
2.5,[1.35273339]
2.4,[11.55721949]
4.9,[14.46355646]
4.5,[4.86295228]
5,[15.48712534]
5,[10.69006259]
5,[16.77624161]
4.3,[1.44482004]
4.6,[11.28034023]
5,[17.00912868]
5,[19.87484943]
5,[30.80923456]
4.7,[18.82239373]
4.5,[23.05380672]
5,[11.19141653]
5,[13.76339875]
2,[-11.99039473]
2.4,[4.80523906]
4.8,[14.22270593]
4.6,[9.04451523]
4.3,[20.71509789]
4,[3.5054908]
4.4,[9.17260109]
4.6,[26.24971877]
4.8,[9.86599608]
3,[-8.08774051]
4.3,[-2.5889305]
1.5,[-13.16008831]
5,[12.96246821]
5,[15.38574399]
5,[20.2507936]
2.9,[-5.85717536]
5,[3.98652568]
4.7,[19.36454237]
4.8,[37.27611837]
4.8,[21.42768249]
5,[29.25601276]
3.5,[8.70377046]
2,[3.45931439]
5,[19.04815956]
4,[15.71214132]
4.8,[35.5145266]
5,[5.86112301]
3.7,[13.61098614]
2.9,[5.07402986]
4,[14.70213765]
3,[3.36984437]
5,[26.11171748]
1.5,[-19.88433849]
2.5,[2.53588812]
4,[14.773238]
4.5,[13.26073441]
5,[27.39161938]
5,[20.22261796]
4.2,[22.46919704]
3.1,[6.70080713]
1.5,[2.44583931]
4.5,[104.24349555]
4.5,[22.32940394]
