nota,[3.62235562]
4,[16.37347816]
4.5,[17.03946944]
5,[20.05049528]
4,[19.68839261]
4,[17.44791379]
5,[11.16284931]
5,[21.48124433]
4,[4.2644272]
5,[8.07453876]
2,[6.59846035]
5,[40.06268318]
4.6,[16.17091336]
2.5,[0.39416536]
5,[31.90488281]
3.5,[20.33839889]
1.5,[-0.2861392]
4.5,[8.91900392]
4.8,[22.31762313]
4.6,[21.05104105]
5,[23.01896747]
2.5,[-3.59252378]
4,[12.98667492]
5,[25.35388276]
4.8,[5.25078794]
4,[10.13267927]
4.5,[10.96349966]
4,[8.70348937]
3.5,[10.53211249]
2.8,[14.04364093]
5,[9.55505829]
4,[21.37005116]
4,[17.38755822]
4.9,[9.34439739]
4.5,[29.6817223]
4,[2.52594759]
4.6,[7.58991009]
4.5,[33.41345427]
3.5,[2.60438583]
2,[-4.74958166]
4.8,[15.85880927]
3,[-13.43408215]
3.3,[18.87825976]
4.5,[29.14511902]
4.6,[16.28254554]
4,[34.55169366]
4.4,[29.35848124]
4.5,[-4.09520425]
2,[-17.29292874]
3,[7.8280661]
5,[16.56202778]
4.8,[11.67976531]
2,[-2.06161811]
4,[26.61950701]
4.2,[9.3376262]
3.4,[7.38649876]
4.5,[14.46818303]
4.6,[30.22987901]
1.5,[-1.07384102]
1.5,[0.95784015]
3.5,[20.16154702]
1.5,[-6.38510026]
4,[6.33030582]
4,[5.30010181]
5,[16.46506752]
