nota,[3.62235562]
4.5,[18.77472269]
4.5,[2.91287787]
5,[24.91355415]
5,[11.38401339]
5,[9.06490856]
5,[13.06113939]
5,[24.54223388]
3,[17.17079805]
5,[16.78647017]
5,[7.06097274]
3,[14.90329582]
3.8,[-0.96677264]
4.5,[24.53617423]
3.5,[-8.61858113]
4.3,[11.63767871]
3.6,[-7.98194619]
3.7,[30.19004229]
5,[13.98179943]
5,[22.10425147]
2,[-4.35846414]
5,[21.99348393]
1,[3.2556359]
5,[12.5929083]
4.6,[14.79964673]
5,[19.75228878]
5,[3.62235562]
1.5,[-47.81708965]
5,[7.74585237]
5,[23.23676407]
5,[15.15600636]
2.5,[-3.58911796]
1.5,[-5.16583297]
2.2,[-4.49064109]
5,[46.64767827]
3.7,[20.68850657]
4.5,[11.03546841]
2.6,[1.86611994]
1.6,[-4.98370742]
1.5,[-10.93643398]
5,[14.11166249]
5,[15.11617376]
4.7,[30.69554232]
5,[32.3346181]
1.5,[-10.53734867]
2,[0.21575902]
4,[17.66537671]
5,[21.12176514]
2.6,[4.58517897]
2,[-5.72132606]
4,[8.33670346]
4.8,[19.23562886]
5,[32.50288371]
4.4,[14.66089059]
4.1,[12.26171146]
4,[10.36392856]
4.4,[9.97321473]
4,[5.71071878]
5,[28.84084358]
5,[5.38288975]
4,[13.16655648]
4.5,[7.15760178]
4.9,[18.70944154]
3,[13.76232334]
5,[7.94907526]
4.9,[16.82842952]
4,[4.55942566]
5,[21.56660074]
5,[20.73934541]
4.2,[10.17656352]
5,[17.45029583]
3,[7.9669024]
3.5,[24.03038387]
4.9,[26.58683102]
1.5,[-0.16011637]
5,[10.93578112]
5,[9.88346045]
4.2,[17.11287944]
1.5,[-5.200275]
3,[-1.35612115]
5,[42.12737069]
5,[0.26395485]
3.2,[4.86909482]
3,[22.5970003]
5,[28.38961688]
5,[15.36594834]
1.5,[-13.16132649]
4.5,[9.32934368]
1.5,[-18.84666391]
3.5,[13.99140262]
1.5,[-12.97554436]
5,[6.33495488]
4.6,[29.24043969]
3,[5.24820313]
1.5,[3.0931796]
3.5,[8.60315965]
5,[15.42497629]
5,[26.49196899]
4.5,[23.55368096]
5,[15.86802257]
4.1,[16.64103942]
5,[27.07702022]
2,[16.84019087]
4.9,[4.44922819]
4,[9.49212977]
3,[15.71967098]
1.9,[1.43030091]
4.3,[12.56204186]
5,[22.3279726]
2,[-0.8315221]
4,[-5.24280766]
1.5,[-4.79249222]
5,[6.53250626]
5,[25.87138473]
5,[31.44173895]
2,[-2.42441667]
5,[16.47603764]
5,[13.98137511]
4,[-6.05414459]
5,[32.00975545]
5,[15.22688229]
2,[-0.41928045]
2,[-8.32682442]
4,[16.31802387]
5,[22.48279529]
3,[6.69403284]
5,[8.44960475]
4.5,[22.45518714]
3.5,[16.51618674]
3,[-1.34939184]
1.5,[-13.51451837]
3.5,[4.49328556]
4.5,[12.23342742]
3.5,[0.03054247]
4.5,[9.81177853]
5,[27.37556706]
1.5,[7.63604033]
5,[-0.85453906]
5,[6.23507986]
5,[-3.91412164]
3,[5.221225]
1.5,[-6.28781901]
1.5,[2.8048352]
3.5,[0.61515974]
4.5,[28.52448413]
1.5,[-12.25806207]
4.5,[13.7933167]
5,[18.78400103]
4,[21.8132164]
5,[7.91661321]
4.5,[28.40814751]
5,[11.55208243]
2,[-6.27584511]
2.4,[0.34016666]
4.5,[-1.97115467]
3,[21.76539212]
4.4,[28.99443748]
4.5,[12.20373886]
3.5,[21.94977299]
3.5,[27.15700406]
3,[8.58355398]
5,[22.66531817]
4,[18.28267144]
2,[1.69451651]
4.7,[18.67190745]
1.5,[46.15098189]
5,[8.26056831]
5,[12.44648504]
1.5,[-23.40195376]
5,[18.65852099]
4,[14.35051584]
2.5,[5.25870193]
1.5,[-9.16296709]
3.9,[14.91821423]
4.5,[18.01660856]
4.5,[9.88330149]
4,[13.20127529]
5,[20.51409985]
3.5,[9.74013775]
5,[28.72350887]
5,[27.0328747]
5,[15.36844233]
4.5,[24.93170156]
5,[30.2997218]
5,[22.62147763]
5,[12.50691142]
3,[-7.91646082]
2.6,[-23.26434646]
3.8,[3.33773085]
5,[19.27410132]
4.5,[15.29526229]
5,[31.84028993]
3.7,[7.54017547]
4.4,[-3.38124113]
2,[-15.06133968]
4.5,[11.22191275]
5,[17.3045097]
4.5,[23.78845194]
5,[14.55208808]
5,[8.47691035]
3.5,[19.56454955]
2,[-1.84774576]
5,[10.82312939]
4.3,[25.27169654]
3,[-5.93229249]
1.5,[-8.5999141]
3,[4.62803526]
3,[2.22312275]
3,[0.87890438]
2,[1.25668907]
4.6,[16.21561322]
3.5,[14.1641797]
4.4,[26.94649371]
5,[25.13573533]
4.8,[20.14202862]
4,[3.06412766]
5,[31.98166494]
4,[24.1478159]
4.4,[12.21179163]
5,[23.62982493]
5,[32.75605865]
1.5,[-13.56114129]
4.6,[16.55502521]
4.5,[6.12427356]
5,[15.99002687]
2,[-10.49262259]
4.5,[12.37992622]
3.5,[11.7595055]
4.3,[26.52280588]
4.6,[16.68149159]
2.8,[17.00862145]
4,[-1.11805547]
5,[18.99128006]
2.5,[2.27987994]
