nota,[3.62235562]
5,[7.82364157]
5,[19.05074055]
2.5,[3.90552437]
5,[18.34040215]
5,[28.15851821]
2.5,[5.79636049]
3.7,[6.00493928]
4.5,[6.07265474]
5,[19.51841727]
2,[0.2053361]
4.1,[27.28942138]
2.5,[-4.14383019]
4.2,[3.98524076]
5,[7.22501916]
4,[27.35407944]
3,[3.48557175]
5,[10.69555982]
2,[0.90398789]
4.7,[20.7466055]
4.5,[16.47322767]
3.5,[3.20600655]
5,[17.06246881]
3.8,[19.60558103]
5,[18.66913678]
2,[3.05437106]
4.7,[22.34368442]
5,[28.26659903]
5,[16.34230274]
3,[-1.82780085]
4,[8.0716527]
5,[24.20053951]
2.1,[-0.56763057]
3.5,[6.14184958]
5,[12.6703042]
4,[12.85963136]
3,[1.85059415]
3,[9.5843722]
1.5,[2.43932478]
5,[12.78399741]
5,[9.67690191]
3.6,[-0.93367174]
5,[28.60422998]
5,[22.26332502]
4,[6.62369192]
3,[9.25039602]
1.5,[-15.99797627]
5,[8.92113565]
4,[6.9209625]
3.5,[6.66325593]
4.7,[12.09218307]
1.8,[-5.61379172]
3.5,[4.37052788]
1.5,[-31.69621319]
4.4,[4.58813316]
5,[16.37113017]
